Site,Zone,Time,Tide,Species,Number,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
MED,1,,high,whimrel,1,,,,,,,,,
MED,1,,high,sandpipers,1,,,,,,,,,
MED,1,,high,mourning dove,1,,,,,,,,,
MED,1,,high,turkey vulture,1,,,,,,,,,
MED,1,(Z2)8:30:00 AM,high,LSAND,1,,OUT OF MUD,MUD POT,,,FLEW OUT,BOTH,,
MED,1,8:31,high,GBBG,1,,,,,,,VIS ONLY,,
MED,1,8:31,high,LSAND,1,,,,,IN MUD POT,FLEW OUT,BOTH,,
MED,1,8:32,high,CROW,2,,OVER MARSH,,,,,BOTH,,
MED,1,8:34,high,TRSW,1,,,OVER MARSH EDGE,,,,BOTH,,
MED,1,8:35,high,SMSP,1,,OVER MARSH,,,,,BOTH,,
MED,1,8:35,high,HERG,1,,OVER HARBOR,,,,,VIS ONLY,,
MED,1,8:36,high,SMSP,1,,N TO S LOW,,,,,VIS ONLY,,
MED,1,8:38,high,COTE,1,,W TO E,,,,,VIS ONLY,,
MED,1,8:39,high,LSPIP,1,,MUD POT,MUD POT,,,FLEW OUT,VIS ONLY,,
MED,1,,high,HERRING GULL,1,,,,,,,,,
MED,1,,high,GREAT BB GULL,1,,,,,,,,,
MED,1,,high,LEAST SANDPIPER,1,,,,,,,,,
MED,1,,high,GOLD FINCH,1,,3,,,,,,,
MED,1,,high,SALTMARSH SPARROW,1,,,,,,,,,
MED,1,,high,TREE SWALLOW,1,,2,,,,,,,
MED,1,,high,COMMON TERN,1,,,,,,,,,
MED,1,,high,SANDERLING,1,,2 IN MARSH,,,,,,,
MED,1,(Z3)8:45:00 AM,high,HERG,1,,N TO S,,,,,VIS,,
MED,1,8:46,high,LEAST SANDPIPER,1,,,,MUD POT,,,VIS,,
MED,1,8:46,high,SPOTTED SANDPIPER,1,,,MUD POT,,,,VIS,,
MED,1,8:48,high,CROW,1,,,,PVC,,,VIS,,
MED,1,8:48,high,CORM,1,,E TO W,,,,,VIS,,
MED,1,8:49,high,CEWA,1,,OVER TREES,,,,,VIS,,
MED,1,8:50,high,CORM,1,,W TO E,,,,,VIS,,
MED,1,8:52,high,CORM,1,,,,,IN MARSH,,VIS,,
MED,1,8:55,high,CEWA,1,,SE OVER MARSH,,,,,BOTH,,
MED,1,,high,HERRING GULL,1,,,,,,,,,
MED,1,,high,CORM,1,,,,,,,,,
MED,1,,high,CEDAR W.,1,,,,,,,,,
MED,1,,high,CROW,1,,,,,,,,,
MED,1,,high,LEAST SANDPIPER,1,,,,,,,,,
MED,1,,high,SPOTTED SANDPIPER,1,,,,,,,,,
MED,2,(Z4) 9:07:00 AM,MID,GBBG,1,,E TO W,,,,,VIS,,
MED,2,9:07,MID,SNEG,1,,W TO E,,,,,VIS,,
MED,2,9:08,MID,CORM,2,,E TO W,,,,,VIS,,
MED,2,9:08,MID,SMSPAR,4,,CIRLING,,,,,VIS,,
MED,2,9:10,MID,MERL,1,,NW,FASY FLIGHT,,,,VIS,,
MED,2,9:10,MID,MOOO,1,,N TO S,,,,,VIS,,
MED,2,9:12,MID,TUVU,1,,CIRCLING,OVER MARSH,,,,VIS,,
MED,2,9:13,MID,CEWA,2,,CIRCLING,,,,,BOTH,,
MED,2,,MID,GBBG,1,,,,,,,,,
MED,2,,MID,EGR,1,,,,,,,,,
MED,2,,MID,CORM,1,,,,,,,,,
MED,2,,MID,SWALLOW SPP.,1,,,,,,,,,
MED,2,,MID,MERLIN,1,,,,,,,,,
MED,2,,MID,MOURNING DOVE,1,,,,,,,,,
MED,2,,MID,TURKEY vulture,1,,,,,,,,,
MED,2,,MID,CEWA,1,,,,,,,,,
MED,2,(Z5)9:20:00 AM,MID,CEWA,1,,,,,,,VIS,,
MED,2,9:20,MID,SNOWY,1,, W TO E,,,,,VIS,,
MED,2,9:20,MID,HERG,1,,W TO E,,,,,VIS,,
MED,2,9:20,MID,CEWA,1,,NW,,,,,VIS,,
MED,2,9:21,MID,SNOWY,1,,WEST,,,,,VIS,,
MED,2,9:21,MID,CATBIRD,1,,,,TREES,,,CALL,,
MED,2,9:21,MID,OSPREY,1,,,FLYING,,,,VIS,,
MED,2,9:22,MID,CEWA,1,,INTO TREES,,,,,VIS,,
MED,2,9:23,MID,CEWA,1,,,IN TREE ,,,,VIS,,
MED,2,9:24,MID,MERLIN,1,,,ALONG TREE LINE,,,,VIS,,
MED,2,9:25,MID,SNOWY,1,,N TO S,,,,,VIS,,
MED,2,9:26,MID,CEWA,1,,ALONG TREE,,,,,VIS,,
MED,2,9:27,MID,mourning dove,1,,ALONG TREE,,,,,VIS,,
MED,2,9:28,MID,CEWA,1,,WEST OVER MARSH,,,,,VIS,,
MED,2,,MID,CEWA,1,,,,,,,,,
MED,2,,MID,SNOWYEGRET,1,,,,,,,,,
MED,2,,MID,HERRING GULL,1,,,,,,,,,
MED,2,,MID,GREY CARBIRD,1,,,,,,,,,
MED,2,,MID,OSPREY,1,,,,,,,,,
MED,2,,MID,MERLIN,1,,,,,,,,,
MED,2,,MID,MOURNINg dove,1,,,,,,,,,
MED,2,(Z6)9:35:00 AM,MID,CORM,1,,W TO E,,,,,,,
MED,2,9:36,MID,MERL,1,,,CAUGHT BIRD,,PERCHED ON TREE,EATING,VIS,,
MED,2,9:39,MID,CEWA,2,,CIRLING,,,,,VIS,,
MED,2,9:40,MID,CEWA,1,,CIRCLING,,,,,BOTH,,
MED,2,9:41,MID,CEWA,1,,SE,,,,,BIS,,
MED,2,9:43,MID,CEWA,1,,CIRLCED,,,,,BOTH,,
MED,2,9:43,MID,CHICK,2,,S,,,,,BOTH,,
MED,2,9:44,MID,LESA,1,,E OVER HEAD,,,,,BOTH,,
MED,2,,MID,CORM,1,,,,,,,,,
MED,2,,MID,MERLIN,1,,,,,,,,,
MED,2,,MID,CEWA,1,,,,,,,,,
MED,2,,MID,LEAST SANDPIPER,1,,,,,,,,,
MED,3,(Z7)9:50:00 AM,MID,HERG,1,,N TO S,,,,,VIS,,
MED,3,9:50,MID,CEWA,1,,CIRLING,,,,,VIS,,
MED,3,9:50,MID,RDOIN,1,,,,ON TREE,,,VIS,,
MED,3,9:50,MID,CHICK,1,,NW,,,,,VIS,,
MED,3,9:52,MID,CEWA,1,,SW,,,,,VIS,,
MED,3,9:55,MID,CATBIRD,1,,E,,,,,VIS,,
MED,3,9:55,MID,CROW,1,,,,ON TREE,,,CALL,,
MED,3,9:56,MID,SNOWY,1,,WEST,,,,,VIS,,
MED,3,9:57,MID,SNOWY,1,,WEST OVER TREE,,,,,VIS,,
MED,3,10:00,MID,HERG,1,,CIRCLING,,,,,VIS,,
MED,3,,MID,HERRING GULL,1,,,,,,,,,
MED,3,,MID,CEWA,1,,,,,,,,,
MED,3,,MID,AMERICAN ROBIN,1,,,,,,,,,
MED,3,,MID,GREY CARBIRD,1,,,,,,,,,
MED,3,,MID,EGR,1,,,,,,,,,
MED,3,,MID,CHICKADEE,1,,,,,,,,,
MED,3,,MID,CROW,1,,,,,,,,,
MED,3,(Z8)10:05:00 AM,MID,OSPR,1,,CIRLCING,,,,,VIS,,
MED,3,10:05,MID,CEWA,1,,N,,,,,BOTH,,
MED,3,10:06,MID,CEWA,1,,CIRLING,,,,,VIS,,
MED,3,10:06,MID,AMRO,1,,,,CALLING,,,CALL,,
MED,3,10:07,MID,CEWA,1,,S,,,,,VIS,,
MED,3,10:07,MID,GRCA,1,,,,CALLING,,,CALL,,
MED,3,10:09,MID,CAT,1,,N,,,,,BVIS,,
MED,3,10:13,MID,LSPIP,3,,E,,,,,BOTH,,
MED,3,10:14,MID,CEWA,1,,S,,,,,BOTH,,
MED,3,,MID,OSPREY,1,,,,,,,,,
MED,3,,MID,CEWA,1,,,,,,,,,
MED,3,,MID,ROBIN,1,,,,,,,,,
MED,3,,MID,CAT,1,,,,,,,,,
MED,3,,MID,MOURNING DOVE,1,,,,,,,,,
MED,3,,MID,LEAST SANDPIPER,1,,,,,,,,,
MED,3,(Z9) 10:19:00 AM,,OSPREY,1,,circling,,,,,vis,,
MED,3,10:20,,CEWA,1,,S W,,,,,vis,,
MED,3,10:20,,REDHAWK,1,,,treeline,,,,vis,,
MED,3,10:20,,OSPREY,1,,circling,,,,,vis,,
MED,3,10:23,,CEWA,1,,sw,,,,,vis,,
MED,3,10:23,,CEWA,1,,q,,,,,vis,,
MED,3,10:24,,CEWA,1,,flying over marsh,,,,,vis,,
MED,3,10:25,,gold finch,1,,,,phragmities,,,vis,,
MED,3,10:27,,gbbg,1,,west near marsh,,,,,vis,,
MED,3,10:27,,VULT,1,,"circles, marsh, trees",,,,,vis,,
MED,3,,,OSPREY,1,,,,,,,,,
MED,3,,,CEWA,1,,,,,,,,,
MED,3,,,RE TAILED HAWK,1,,,,,,,,,
MED,3,,,GOLD FINCH,1,,,,,,,,,
MED,3,,,GREAT BB GULL,1,,,,,,,,,
MED,3,,,VULT,1,,,,,,,,,
MED,1,(Z1)12:01:00 PM,LOW,OSPR,1,,CIRCLING,WITH FISH,,,,VIS,,
MED,1,12:01,LOW,CREWA,1,,S,,,,,BOTH,,
MED,1,12:03,LOW,OCCO,1,,E,,,,,VIS,,
MED,1,12:03,LOW,HERG,1,,S,,,,,VIS,,
MED,1,12:04,LOW,MAKE,1,,CIRCLING,,,,MOVING FAST,VIS,,
MED,1,12:07,LOW,KILL,1,,CIRCLING,,,,,VIS,,
MED,1,12:08,LOW,CEWA,1,,S,,,,,BOTH,,
MED,1,12:08,LOW,LESA,1,,E,,,,,VIS,,
MED,1,,LOW,OSPREY,1,,,,,,,,,
MED,1,,LOW,CEWA,1,,,,,,,,,
MED,1,,LOW,CORM,1,,,,,,,,,
MED,1,,LOW,HERRING GULL,1,,,,,,,,,
MED,1,,LOW,KESTROL,1,,,,,,,,,
MED,1,,LOW,KILLDEER,1,,,,,,,,,
MED,1,,LOW,LEAST SANDPIPER,1,,,,,,,,,
MED,2,(Z2)2:14:00 PM,LOW,OSPREY,1,,,OVER HARBOR,,,,VIS,,
MED,2,12:15,LOW,SNOWY,1,,,FORAGIING MUD POT,,,,VIS,,
MED,2,12:18,LOW,MALLARD,1,,SW OVER TREE,,,,,VIS,,
MED,2,12:18,LOW,SNOWY,1,,,FORAGING WITH OTHERS,,,,VIS,,
MED,2,12:19,LOW,SMSPAR,1,,E,,,IN MARSH,,VIS,,
MED,2,12:20,LOW,SANDpipers,1,,NW,,,,,VIS,,
MED,2,12:20,LOW,LEAST SANDPIPER,1,,CIRCLED ,,,,,VIS,,
MED,2,12:21,LOW,SNOWY,1,,MARSH MUD POT,,,TO MARSH EDGE,,VIS,,
MED,2,12:22,LOW,HRRG,1,,S ,,,,,VIS,,
MED,2,12:23,LOW,mourning dove,1,,SE MARSH,,,,,VIS,,
MED,2,12:23,LOW,WILLET,1,,SE MARSH,,,,,VIS,,
MED,2,,LOW,OSPREY,1,,,,,,,,,
MED,2,,LOW,EGR,1,,,,,,,,,
MED,2,,LOW,MALLARD,1,,,,,,,,,
MED,2,,LOW,SMSPAR,1,,,,,,,,,
MED,2,,LOW,LEAST SANDPIPER,1,,,,,,,,,
MED,2,,LOW,MOURNING DOVE,1,,,,,,,,,
MED,2,,LOW,WILLET,1,,,,,,,,,
MED,2,,LOW,SANDpipers,1,,,,,,,,,
MED,2,,LOW,HERRING GULL,1,,,,,,,,,
MED,3,(Z3)12:31,LOW,SNEG,1,,SE,,,,,VIS,,
MED,3,12:36,LOW,HERG,1,,S,,,,,VIS,,
MED,3,12:36,LOW,CEWA,1,,CIRCLING,,,,,VIS,,
MED,3,12:38,LOW,HERG,1,,S,,,,,VIS,,
MED,3,,LOW,EGR,1,,,,,,,,,
MED,3,,LOW,HERRING GULL,1,,,,,,,,,
MED,3,,LOW,CEWA,1,,,,,,,,,
MED,2,(Z4)12:44,LOW,CEWA,1,,,,PERCHED IN TREE,,,VIS,,
MED,2,12:44,LOW,GBBG,1,,,OVER WATER,,,,VIS,,
MED,2,12:45,LOW,MOURNING DOVE,1,,W OVER MARSH,,,,,VIS,,
MED,2,12:46,LOW,CEWA,1,,N OVER MARSH,,,,,VIS,,
MED,2,12:48,LOW,OSPREY,1,,,OVER MARSH,,,,VIS,,
MED,2,12:48,LOW,CATBIRD,1,,,,TREES,,,CALL,,
MED,2,12:49,LOW,CEWA,1,,,CIRCLING OVER MARSH,,,,VIS,,
MED,2,12:50,LOW,HERG,1,,SE OVER TREE,,,,,VIS,,
MED,2,12:52,LOW,CEWA,1,,SE OVER MARSH,,,,,VIS,,
MED,2,12:52,LOW,HERG,1,,S OVER MARSH,,,,,VIS,,
MED,2,,LOW,CEWA,1,,,,,,,,,
MED,2,,LOW,GREAT BB GULL,1,,,,,,,,,
MED,2,,LOW,MOURNING DOVE,1,,,,,,,,,
MED,2,,LOW,OSPREY,1,,,,,,,,,
MED,2,,LOW,GREY CARBIRD,1,,,,,,,,,
MED,2,,LOW,HERRING GULL,1,,,,,,,,,
MED,2,(z5)12:58,LOW,BBG,2,,E,,,,,VIS,,
MED,2,12:59,LOW,CEWA,12,,CIRCLING,,,,,BOTH,,
MED,2,1:01,LOW,CEWA,1,,,,,IN MARSH,,BOTH,,
MED,2,1:04,LOW,SNEG,1,,SE,,,,,VIS,,
MED,2,1:04,LOW,CROW,3,,,,,IN TREE,,VIS,,
MED,2,,LOW,EGR,1,,,,,,,,,
MED,2,,LOW,CEWA,1,,,,,,,,,
MED,2,,LOW,CROW,1,,,,,,,,,
MED,2,(Z6) 1:13PM,LOW,CEWA,1,,CIRCLING OVER MARSH,,,,,VIS,,
MED,2,13:14,LOW,CEWA,1,,SE OVER MARSH,,,,,VIS,,
MED,2,13:15,LOW,HERG,1,,E MARSH,,,,,,,
MED,2,13:17,LOW,CEWA,1,,CIRLCING MARSH,,,,,,,
MED,2,13:18,LOW,CEWA,1,,CIRLCING MARSH,,,,,,,
MED,2,13:19,LOW,MOURNING DOVE,1,,OVER MARSH,,,IN TREE,,,,
MED,2,13:19,LOW,CEWA,1,,CIRCLING,,,,,,,
MED,2,13:20,LOW,HERG,1,,E OVER MARSH,,,,,,,
MED,2,13:21,LOW,CEWA,1,,N OVER MARSH,,,,,,,
MED,2,,LOW,CEWA,1,,,,,,,,,
MED,2,,LOW,HEG,1,,,,,,,,,
MED,2,,LOW,MOURNING DOVE,1,,,,,,,,,
MED,3,(Z7) 1:27 PM,LOW,CEWA,5,,CIRLCING,,,,,VIS,,
MED,3,1:27,LOW,GBBG,2,,S,,,,,VIS,,
MED,3,1:27,LOW,GRYE,1,,,,,IN MARSH,,VIs,,
MED,3,1:28,LOW,TRSW,1,,CIRCLING,OVER MARSH,,,,VIS,,
MED,3,1:29,LOW,GRAC,1,,,,CALLING,,,CALL,,
MED,3,1:30,LOW,OSPR,1,,CIRCLING,,,,,BOTH,,
MED,3,1:30,LOW,CEWA,5,,,,IN TREE,,FLEW E,BOTH,,
MED,3,1:31,LOW,CEWA,2,,CIRCLING,,,,,BOTH,,
MED,3,1:32,LOW,CEWA,5,,N,,,,,BOTH,,
MED,3,1:34,LOW,LESA,1,,N,,,,,BOTH,,
MED,3,1:35,LOW,CEWA,14,,CIRCLING,,,,FLEW TO TREE,BOTH,,
MED,3,1:36,LOW,HERG,1,,W,,,,,VIS,,
MED,3,1:36,LOW,CEWA,1,,CIRCLING,,,,,BOTH,,
MED,3,,LOW,CEWA,1,,,,,,,,,
MED,3,,LOW,GREAT BB GULL,1,,,,,,,,,
MED,3,,LOW,GREAT YELLOW LEGS,1,,,,,,,,,
MED,3,,LOW,OSPREY,1,,,,,,,,,
MED,3,,LOW,TREESWALLOW,1,,,,,,,,,
MED,3,,LOW,GREY CATBIRD,1,,,,,,,,,
MED,3,,LOW,LEAST SANDPIPER,1,,,,,,,,,
MED,3,,LOW,HERRING GULL,1,,,,,,,,,
MED,3,(z8) 1:41,LOW,snowy,1,,WEST NEAR TREE,,,,,VIS,,
MED,3,1:42,LOW,CEWA,1,,CIRCLING OVER TREES,,,,,VIS,,
MED,3,1:42,LOW,CEWA,1,,S OVER MARSH,,,,,VIS,,
MED,3,1:44,LOW,CEWA,1,,S OVER MARSH,,,TREE,,VIS,,
MED,3,1:45,LOW,CEWA,3,,CIRCLING,,,,,VIS,,
MED,3,1:45,LOW,CEWA,16,,N OVER MARSH,,,TREE,,VIS,,
MED,3,1:46,LOW,EGR,2,,S OVER MARSH,,,,,VIS,,
MED,3,1:47,LOW,LSPIP,1,,N,,,MARSH,,VIS,,
MED,3,,LOW,EGR,1,,,,,,,,,
MED,3,,LOW,VULT,1,,,,,,,,,
MED,3,,LOW,CEWA,1,,,,,,,,,
MED,3,,LOW,LSPIP,1,,,,,,,,,
MED,3,(Z9) 1:53,LOW,CEWA,20,,HOPPING,FORAGING IN GRASS,,,FLEX TO TREES,BOTH,,
MED,3,2:02,LOW,CEWA,3,,N,,,,JOINED TRAP,BOTH,,
MED,3,2:02,LOW,CROW,1,,,,,IN MARSH,,VIS,,
MED,3,,LOW,CEWA,1,,,,,,,,,
MED,3,,LOW,CROW,1,,,,,,,,,
W,1,7:17,LOW,bbg,1,,,,1,,,,,
W,1,7:19,LOW,bbg,2,,1,,,,,,,
W,1,7:22,LOW,OSP,1,,1,,,,,,,
W,1,7:22,LOW,HAR,1,,,,,1,,,,
W,1,7:30,LOW,OSP,1,,,,,1,,,,
W,1,7:30,LOW,OSP,1,,,,,1,,,,
W,1,,LOW,BBG,1,,,,,,,,,
W,1,8:02,LOW,OSP,2,,,,1,,,,,
W,1,8:02,LOW,GOOS,14,,,,1,,,,,
W,1,8:02,LOW,SWAN,3,,,,1,,,,,
W,1,7:45,LOW,RWB,11,,1,,,,,,,
W,1,8:13,LOW,BBG,1,,1,,,,,,,
W,1,8:15,LOW,BBG,1,,,,1,,,,,
W,1,8:19,LOW,GBBG,1,,1,,,,,,,
W,1,,LOW,OSP,1,,,,,,,,,
W,1,8:15,LOW,YLEGS,1,,1,,,,,,,
W,1,8:15,LOW,SMSPAR,5,,1,,,,,,,
W,2,8:15,LOW,GOOS,15,,,,1,,,,,
W,2,8:25,LOW,RWB,5,,1,,,,,,,
W,2,8:27,LOW,WHIM,1,,,,1,,,,,
W,2,8:27,LOW,SMSPAR,9,,1,,,,,,,
W,2,8:28,LOW,GBBG,2,,1,,,,,,,
W,2,8:29,LOW,OSP,2,,1,,,,,,,
W,2,8:30,LOW,BSWAL,2,,1,,,,,,,
W,2,,LOW,TSWAL,1,,,,,,,,,
W,2,9:16,LOW,BSWAL,15,,1,,,,,,,
W,2,9:16,LOW,GOOS,12,,,,1,,,,,
W,2,9:19,LOW,BSWAL,4,,1,,,,,,,
W,2,9:19,LOW,OSP,1,,1,,,,,,,
W,2,9:27,LOW,OSP,1,,1,,,,,,,
W,2,8:02,HIGH,YLEGS,1,,,,,,,,,
W,3,8:02,HIGH,SMSPAR,1,,1,,,,,,,
W,3,8:02,HIGH,GOOS,1,,1,,,,,,,
W,2,7:45,HIGH,RWB,1,,1,,,,,,,
W,3,8:13,HIGH,WHIM,1,,,,,,,,,
W,3,8:15,HIGH,SMSPAR,1,,1,,,,,,,
W,2,8:19,HIGH,GBBG,1,,1,,,,,,,
W,3,,HIGH,GOOS,1,,1,,,,,,,
W,2,8:15,HIGH,SPPIP,1,,1,,,,,,,
W,3,8:15,HIGH,EGR,1,,,1,1,,,,,
W,3,8:15,HIGH,SLING,1,,,,,,,,,
W,3,8:25,HIGH,NHER,1,,1,,,,,,,
W,3,8:27,HIGH,YLEGS,1,,,,,,,,,
W,3,8:27,HIGH,SMSPAR,1,,1,,,,,,,
W,3,8:28,HIGH,GOOS,1,,,,1,,,,,
W,2,8:29,HIGH,RWB,1,,1,,,,,,,
W,3,8:30,HIGH,WHIM,4,,1,,,,,,,
W,3,,HIGH,SMSPAR,1,,1,,,,,,,
W,2,9:16,HIGH,GBBG,1,,,,,,,,,
W,3,9:16,HIGH,SPPIP,2,,,,,,,,,
W,3,9:19,HIGH,YLEGS,1,,,,1,,,,,
W,1,9:19,HIGH,SMSPAR,1,,,,1,,,,,
W,1,9:27,HIGH,GOOS,1,,,,1,,,,,
W,1,8:02,HIGH,RWB,1,,1,,,,,,,
W,1,8:02,HIGH,WHIM,23,,1,,,,,,,
W,1,8:02,HIGH,SMSPAR,1,,,,,,,,,
W,1,7:45,HIGH,GBBG,2,,1,,,,,,,
W,1,,HIGH,LSPIP,1,,1,,,,,,,
W,1,,HIGH,OSP,2,,1,,,,,,,
W,1,,HIGH,EGR,4,,1,,,,,,,
W,1,,HIGH,LSPIP,1,,1,,,,,,,
W,1,12:44,HIGH,LSPIP,1,,,,,1,,,,
W,1,12:45,HIGH,LSPIP,1,,,,,1,,,,
W,1,12:46,HIGH,BSWAL,1,,,,,1,,,,
W,2,12:48,LOW,BSWAL,1,,,,,,,,,
W,2,12:48,LOW,SPPLOV,6,,,,1,,,,,
W,2,12:49,LOW,BSWAL,1,,,,1,,,,,
W,2,12:50,LOW,EGR,1,,,,1,,,,,
W,2,12:52,LOW,BBG,1,,1,,,,,,,
W,2,12:52,LOW,GOOS,1,,1,,,,,,,
W,2,,LOW,GBBG,4,,,,1,,,,,
W,2,,LOW,CORM,1,,1,,,,,,,
W,2,,LOW,CROW,1,,,,,,,,,
W,2,,LOW,BBG,1,,1,,,,,,,
W,2,,LOW,GBBG,1,,1,,,,,,,
W,2,,LOW,LSPIP,1,,,,1,,,,,
W,2,,LOW,OSP,1,,1,,,,,,,
W,2,,LOW,EGR,1,,,,1,,,,,
W,2,,LOW,LSPIP,3,,1,,,,,,,
W,3,,LOW,LSPIP,1,,1,,,,,,,
W,3,,LOW,LSPIP,1,,1,,,,,,,
W,3,,LOW,BSWAL,1,,1,,,,,,,
W,3,,LOW,BSWAL,1,,,,,,,,,
W,3,,LOW,SPPLOV,1,,1,,,,,,,
W,3,,LOW,BSWAL,1,,,,1,,,,,
W,3,,LOW,EGR,1,,1,,,,,,,
W,2,,LOW,SPPIP,2,,1,,,,,,,
W,3,,LOW,SPPLOV,1,,1,,,,,,,
W,1,,LOW,OSP,1,,,,,,,,,
W,3,,LOW,BBG,1,,1,,,,,,,
SQ,1,3:04,LOW,BBG,0,0,,,,,,,,
SQ,1,,LOW,LSPIP,1,,,,,,,,,
SQ,1,4:07,LOW,MARTIN,1,6c,1,,,,,,,
SQ,1,4:02,LOW,EGR,2,mud flat ,,,,1,,,,
SQ,1,4:02,LOW,BBG,3,mud flat ,,,,1,,,,
SQ,1,4:02,LOW,MARTIN,2,middle of the salt marsh ,1,,,,,,,
SQ,1,4:10,LOW,EGR,1,middle of the salt marsh ,1,,,,,,,
SQ,1,5:10,LOW,BBG,1,middle of the salt marsh ,1,,,,,,,
SQ,1,,LOW,SMSPAR,1,,,,,,,,,
SQ,2,4:41,LOW,GBBG,1,4c,1,,,,,,,
SQ,2,4:41,LOW,BBG,1,5t,1,,,,,,,
SQ,2,4:35,LOW,BBG,12,mud flat,,,,1,,,,
SQ,2,4:35,LOW,EGR,5,mud flat,,,,1,,,,
SQ,2,4:35,LOW,EGR,1,middle of thesalt marsh,,,,1,,,,
SQ,2,4:35,LOW,OSP,2,osprey nest,,,1,,,,,
SQ,2,,LOW,MARTIN,2,,,,,,,,,
SQ,2,,LOW,SPPLOV,1,,,,,,,,,
SQ,2,5:25,LOW,BBG,1,6c,1,,,,,,,
SQ,2,5:25,LOW,GBBG,1,7t,1,,,,,,,
SQ,3,5:25,LOW,GBBG,16,mud flat,,,,1,,,,
SQ,3,5:25,LOW,EGR,2,mud flat,,,,1,,,,
SQ,3,5:25,LOW,BBG,2,middle of the marsh,1,,,,,,,
SQ,3,5:25,LOW,OSP,2,osprey nest,,,1,,,,,
SQ,3,5:34,LOW,MARTIN,30,middle of the marsh,1,,,1,,,,