Day,trans,Q1,Q2,Q3,Q4,Q5
1,1,p,p,p,p,p
2,1,p,p,p,p,m
3,1,p,p,p,p,m
4,1,p,p,p,p,m
1,2,m,p,w,w,w
2,2,m,p,w,w,p
3,2,m,p,w,p,p
4,2,m,p,w,p,p
1,3,w,w,w,p,p
2,3,w,w,p,p,p
3,3,w,w,p,p,m
4,3,w,w,p,p,m
1,4,p,w,w,w,m
2,4,m,w,w,w,m
3,4,m,w,w,w,m
4,4,m,s,p,w,m
1,5,m,w,s,w,p
2,5,m,w,p,w,p
3,5,m,w,p,w,p
4,5,m,w,p,w,p
1,6,p,m,p,w,w
2,6,m,m,m,w,w
3,6,m,m,m,w,w
4,6,m ,m,m,p,w
1,7,p,m,w,m,w
2,7,m,m,w,m,w
3,7,m,m,w,m,w
4,7,m,m,w,m,w
1,8,m,w,p,p,m
2,8,m,p,p,p,m
3,8,m,p,p,p,m
4,8,m,p,p,p,m
1,9,m,w,w,w,p
2,9,m,w,w,w,p
3,9,m,w,w,p,p
4,9,m,w,w,p,p
1,10,m,p,p,m,w
2,10,m,p,p,m,m
3,10,m,p,p,m,m
4,10,m,p,p,m,m
1,11,p,p,w,m,m
2,11,p,w,w,m,m
3,11,p,w,w,m,m
4,11,p,w,w,m,m
1,12,m,m,m,m,w
2,12,m,m,m,m,w
3,12,m,m,m,m,w
4,12,m,m,m,m,w