Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,m,p,m,m,w
2,1,m,p,m,m,p
3,1,m,p,m,m,m
4,1,m,p,m,m,m
1,2,m,w,w,w,m
2,2,m,m,w,w,m
3,2,m,m,p,w,m
4,2,m,m,p,w,m
1,3,w,w,w,w,w
2,3,w,w,w,w,p
3,3,p,w,s,w,m
4,3,p,w,s,w,m
1,4,m,w,w,w,w
2,4,m,w,w,w,p
3,4,m,w,w,w,m
4,4,m,w,w,w,m
1,5,w,w,w,w,p
2,5,w,w,s,w,p
3,5,w,w,p,w,m
4,5,w,w,p,w,m
1,6,w,w,w,w,m
2,6,m,w,s,p,m
3,6,m,w,p,p,w
4,6,m,w,p,p,w
1,7,m,w,s,s,w
2,7,m,w,w,s,w
3,7,m,w,w,p,w
4,7,m,w,w,p,w
1,8,w,w,w,s,m
2,8,m,p,s,p,w
3,8,m,p,s,p,w
4,8,m,p,s,p,w
1,9,m,w,w,s,w
2,9,m,s,s,m,s
3,9,m,s,s,m,s
4,9,m,s,s,m,s
1,10,w,w,w,p,w
2,10,m,s,s,p,m
3,10,m,s,p,p,m
4,10,m,s,p,p,m
1,11,w,p,s,s,w
2,11,s,p,p,p,p
3,11,m,m,m,p,m
4,11,m,m,m,p,m
1,12,w,w,w,w,w
2,12,w,p,m,w,w
3,12,w,p,m,w,w
4,12,w,p,m,w,w