site code,site,year,transect,initial mass,final.mass,g decomposed,NOTES,,,"final.mass is either the calculated final mass, g added to the filter paper after a week on the marsh "
PI,PI,2014,1,5,4.1,0.9,,,,
PI,PI,2014,2,5,3.9,1.1,,,,
PI,PI,2014,3,5,NA,1.69,missing,,,
PI,PI,2014,4,5,3.37,1.63,,,,
PI,PI,2014,5,5,4.02,0.98,,,,
PI,PI,2014,6,5,3,2,,,,
PI,PI,2014,7,5,2.2,2.8,,,,
PI,PI,2014,8,5,3.01,1.99,,,,
PI,PI,2014,9,5,3.44,1.56,,,,
PI,PI,2014,10,5,4.3,0.7,,,,
PI,PI,2014,11,5,3.06,1.94,,,,
PI,PI,2014,12,5,2.96,2.04,,,,
PI15,PI15,2015,1,5,4.3,0.7,,,,
PI15,PI15,2015,2,5,NA,1.4,missing,,,
PI15,PI15,2015,3,5,3.8,1.2,,,,
PI15,PI15,2015,4,5,3.5,1.5,,,,
PI15,PI15,2015,5,5,2.91,2.09,,,,
PI15,PI15,2015,6,5,3.33,1.67,,,,
PI15,PI15,2015,7,5,3.8,1.2,,,,
PI15,PI15,2015,8,5,3.1,1.9,,,,
PI15,PI15,2015,9,5,3.37,1.63,,,,
PI15,PI15,2015,10,5,4.02,0.98,,,,
PI15,PI15,2015,11,5,3,2,,,,
PI15,PI15,2015,12,5,4.32,0.68,,,,
SQ,SQ,2015,1,5,NA,1.7,missing,,,
SQ,SQ,2015,2,5,3.44,1.56,,,,
SQ,SQ,2015,3,5,4.3,0.7,,,,
SQ,SQ,2015,4,5,3.06,1.94,,,,
SQ,SQ,2015,5,5,2.96,2.04,,,,
SQ,SQ,2015,6,5,3.25,1.75,,,,
SQ,SQ,2015,7,5,2.94,2.06,,,,
SQ,SQ,2015,8,5,3.2,1.8,,,,
SQ,SQ,2015,9,5,3.5,1.5,,,,
SQ,SQ,2015,10,5,1.9,1.1,leaves lost (3.1),,,
SQ,SQ,2015,11,5,3.11,1.89,,,,
SQ,SQ,2015,12,5,3.3,1.7,,,,
W,W,2015,1,5,2.4,2.6,,,,
W,W,2015,2,5,2.75,2.25,,,,
W,W,2015,3,5,2.45,2.55,missing,,,
W,W,2015,4,5,2.7,2.3,missing,,,
W,W,2015,5,5,3.34,1.66,,,,
W,W,2015,6,5,2.24,2.76,,,,
W,W,2015,7,5,3.9,1.1,,,,
W,W,2015,8,5,1.2,1.8,leaves lost (3.8),,,
W,W,2015,9,5,2.62,2.38,,,,
W,W,2015,10,5,2.1,2.9,,,,
W,W,2015,11,5,3.37,1.63,,,,
W,W,2015,12,5,1.3,3.7,,,,
N,N,2014,1,5,3.04,1.96,,,,
N,N,2014,2,5,2.66,2.34,,,,
N,N,2014,3,5,3.32,1.68,,,,
N,N,2014,4,5,4,1,,,,
N,N,2014,5,5,2.24,2.76,,,,
N,N,2014,6,5,2.1,2.9,,,,
N,N,2014,7,5,2.7,2.3,,,,
N,N,2014,8,5,3.5,1.5,,,,
N,N,2014,9,5,3.1,1.9,,,,
N,N,2014,10,5,2.33,2.67,,,,
N,N,2014,11,5,3.5,1.5,,,,
N,N,2014,12,5,1.9,3.1,,,,
EP,EP,2015,1,5,3.11,1.89,,,,
EP,EP,2015,2,5,2.1,3.9,,,,
EP,EP,2015,3,5,2.4,2.6,,,,
EP,EP,2015,4,5,NA,#VALUE!,missing,,,
EP,EP,2015,5,5,2.66,2.34,,,,
EP,EP,2015,6,5,3.32,1.68,,,,
EP,EP,2015,7,5,3,2,,,,
EP,EP,2015,8,5,2.24,2.76,,,,
EP,EP,2015,9,5,2.9,3.1,,,,
EP,EP,2015,10,5,2.7,2.3,,,,
EP,EP,2015,11,5,3.5,1.5,,,,
EP,EP,2015,12,5,3.33,1.67,,,,
M,M,2015,1,5,2.62,2.38,,,,
M,M,2015,2,5,2.91,2.09,,,,
M,M,2015,3,5,2.8,2.2,,,,
M,M,2015,4,5,2.7,2.3,missing,,,
M,M,2015,5,5,2.65,2.45,missing,,,
M,M,2015,6,5,2.2,2.8,,,,
M,M,2015,7,5,3.01,1.99,,,,
M,M,2015,8,5,3.44,1.56,,,,
M,M,2015,9,5,3.3,1.7,,,,
M,M,2015,10,5,3.06,1.94,,,,
M,M,2015,11,5,2.96,2.04,,,,
M,M,2015,12,5,3.25,1.75,,,,
GC,GC,2014,1,5,2.94,2.06,,,,
GC,GC,2014,2,5,2.37,2.63,,,,
GC,GC,2014,3,5,3.5,1.5,,,,
GC,GC,2014,4,5,1.9,3.1,,,,
GC,GC,2014,5,5,3.11,1.89,,,,
GC,GC,2014,6,5,3.3,1.7,,,,
GC,GC,2014,7,5,3.1,1.9,,,,
GC,GC,2014,8,5,3.04,1.96,,,,
GC,GC,2014,9,5,2.66,2.34,,,,
GC,GC,2014,10,5,3.32,1.68,,,,
GC,GC,2014,11,5,4,1,,,,
GC,GC,2014,12,5,2.24,2.76,,,,
RI,RI,2014,1,5,NA,#VALUE!,missing,,,
RI,RI,2014,2,5,2.7,2.3,,,,
RI,RI,2014,3,5,NA,#VALUE!,missing,,,
RI,RI,2014,4,5,NA,#VALUE!,,,,
RI,RI,2014,5,5,2.33,2.67,,,,
RI,RI,2014,6,5,NA,#VALUE!,missing,,,
RI,RI,2014,7,5,NA,#VALUE!,missing,,,
RI,RI,2014,8,5,3.89,1.11,,,,
RI,RI,2014,9,5,2.72,2.28,,,,
RI,RI,2014,10,5,NA,#VALUE!,missing,,,
RI,RI,2014,11,5,2.6,2.4,,,,
RI,RI,2014,12,5,NA,#VALUE!,missing,,,