Transect,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
Quadrat,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Burrows,44,7,23,0,0,36,17,0,38,0,24,0,10,0,12,12,3,18,10,0,1,0,0,45,0,29,0,7,0,0,32,6,0,0,0,0,0,0,0,0,12,0,0,0,0,5,3,0,0,0,5,0,0,0,0,25,4,0,0,0
Littorina,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mussels,48,18,0,0,0,8,24,0,14,0,14,0,7,0,9,9,0,89,12,0,99,0,1,19,0,58,1,26,0,0,28,12,15,0,0,0,1,0,5,0,68,0,1,26,0,48,58,15,0,0,20,0,0,0,0,48,3,34,0,0
Green crabs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiddlers,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,8,0,0,0,0
Melampus 1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,8,0,2,0,3,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0
Melampus 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0
Melampus 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,1,0,0
Melampus 4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Amphipods 1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0
Amphipods 2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
Amphipods 3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Amphipods 4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ses J,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,
SPA,88,81,77,100,64,56,49,100,100,28,42,100,91,92,0,64,100,83,100,0,84,1,0,100,31,78,100,30,1.4,35,13,100,69,54,5.4,96,92,98,82,3.6,88,97,93,86,100,87,98,94,92,32,81,83,82,91,93,94,98,21,68,12
SPP,,,0,0,36,,,,,82,,,0,,100,,,,,94,0,,,,72,,,,100,100,,,,,100,,,,,100,,,,,,,,11,7,15,,,,,,,0.2,94,,100
SCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
SARC,,,3.1,,94,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uua,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,
sedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Bare,12,8,0.6,0,0,44,51,0,0,,58,0,9,,,36,0,17,0,6,16,4,,40,8,28,,,,,87,,4,2,,4,2,2,18,,12,,3,9,0,13,2,8,,,19,6,18,9,7,6,2,3,,
% Detritus,14,11,38,46,12,0,0,3,6,57,0,49,17,92,100,4,41,3,11,19,1.5,5,21,22,,10,80,14,75,36,3,43,95,98,32,12,85,80,87,17,7,98,68,90,52,2,16,9,28,72,8,69,98,91,42,1.6,21,32,100,36
SPA Density1,34,16,52,110,31,19,33,78,32,46,6,78,23,55,,16,39,30,41,,28,89,67,19,9,28,95,55,11,1,1,30,94,36,7,18,68,48,61,6,48,75,99,75,53,40,47,92,86,8,54,30,21,44,46,19,55,11,50,17
SPA Density2,46,9,47,86,48,42,30,89,43,29,11,99,22,52,,11,46,35,61,,32,59,75,17,11,32,97,38,17,2,56,36,62,49,7,24,55,57,44,10,56,98,99,78,42,31,43,78,79,0,19,30,34,31,27,21,81,15,31,29
SPA Density3,47,2,14,23,38,23,4,11,53,33,3,80,39,82,,10,41,41,43,0,43,62,79,9,14,43,108,57,27,0,27,44,108,58,8,47,56,70,55,16,3,12.5,83,62,41,33,59,81,71,12,67,43,31,22,25,36,79,8,62,22
SPA Height1,51,41,57,19,17,32,25,21,57,9,33,33,68,30,,53,58,76,38,0,86,46,36,51,51,86,35,44,58,57,77,31,37,43,47,99,41,27,28,38,58,40,29,60,54.5,19,55,21,46,52,29,54,31,43,26,7,28,31,44,36
SPA Height2,20,38,62,20,37,31.2,24,27,60,11,41,31,84,34,,50,48,77,47,,96,50,34,46,45.5,69,36,45,53,79,34,34,31,33,62,66,40,32,26,34,54,34,35,60,56,77,42,31,53.5,48,30,52,40,48,37,81,47,33,54,24
SPA Height3,36,40,46,27,38,19,21,31,66,34,54,19,61,34,,55,46,66,53,,102,59.5,24,63,50,53,39,44,53,43,102,32,46,29,82,107,28,35,23,35,41,36,36,57,45,61,27,32,47.5,57,51,42,45,55,42,58,53,48,58,39
SPA Height4,31,61,61,21,40,23,24,39,71,29,38,31,69,34,,80,21,91,54,,103,43,32,66,48.4,54,37,42,50,51,76,35,38,25,63,101,39,31,24,34,19,38,35,52,47,38,21,26,46,51,27,42,47,55,42,31,38,42,60,42
SPA Height5,24,16,46,19,33,30,17,23,64,30,24,23,77,36,,34,54,94,53,,95,49,38,73,51,72,35,46,65,52,43,37,30,28,64,103,32,33,29,27,21,54,38,48,60,51,23,40,54,50,76,42,49,38,43,71,20,61,57,36
SPA Height6,53,24,50,21,32,36,30,19,55,44,55,28,66,36,,81,16,97,47,,96,47,39,63,59.3,67,32,45,56,64,31,34,36,14,71,67,36,26,26,37,70,42,36,59,71,65,38,36,33,56,41,44,28,39,44,51,23,46,65.3,35
SPA Height7,61,28,26,23,31,12,36,16,49,37,56,20,71,35,,48,24,38,51,,103,43,26,64,43,73,30,37,73,41,64,32,37,40,53,84,42,28,24,35,74,40,28,52,51,55,36,44,38,49,47,45,37,49,61,68,3,63,54,40
SPA Height8,51,54,48,28,41,14,4,19,41,26,60,19,54,39,,32,41,44,56,,88,42.5,28,84,64,90,40,44,49,53,63,33,44,38,63,90,41,34,31,39,27,34,38,53,51,56,43,33,52,49,66,32,38,53,54,74,34,41,52,37
SPA Height9,39,52,45,19,41,21,15,21,38,51,51,21,41,30,,54,37,85,35,,104,42.5,24,89,54.4,84,41,51,66,40,44,29,37,35,65,98,18,29,27,42,31,33,30,42,59,70,49,27,51,52,48,33,37,28,28,86,6,44,50,18
SPA Height10,41,50,66,22,38,28,26,36,32,32,18,16,61,30,,21,61,83,29,,100,53,23,81,47,91,39,46,449,55,63,39,28,37,49,74,33,32,22,46,50,32,42,33,66,49,26,50,51,59,73,39,37,51,51,40,31,41,50,39
,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,