site code,site,year,transect,mass,filter,final.mass,NOTES,,,,"final.mass is either the calculated final mass, g added to the filter paper after a week on the marsh "
PI,PI,2014,1,2.8278,2,1.8278,,,,,
PI,PI,2014,2,2.6048,2,1.6048,,,,,
PI,PI,2014,3,1.4574,2,0.4574,,,,,
PI,PI,2014,4,1.5799,2,0.5799,,,,,
PI,PI,2014,5,1.3747,2,0.3747,,,,,
PI,PI,2014,6,2.34,2,1.34,,,,,
PI,PI,2014,7,2.1758,2,1.1758,,,,,
PI,PI,2014,8,3.2093,2,2.2093,,,,,
PI,PI,2014,9,0.3769,0,0.3769,,,,,
PI,PI,2014,10,1.1959,2,0.1959,,,,,
PI,PI,2014,11,2.009,2,1.009,,,,,
PI,PI,2014,12,2.452,2,1.452,,,,,
PI15,PI15,2015,1,8.0755,2,1.0755,caked in mud,7.0755,,,
PI15,PI15,2015,2,4.8566,1,1.432,caked in mud,4.3566,,,
PI15,PI15,2015,3,1.791,2,0.791,,,,,
PI15,PI15,2015,4,1.987,2,0.987,,,,,
PI15,PI15,2015,5,1.825,2,0.825,,,,,
PI15,PI15,2015,6,1.961,2,0.961,,,,,
PI15,PI15,2015,7,2.7934,2,1.7934,,,,,
PI15,PI15,2015,8,5.8265,2,NA,caked in mud,4.8265,,,
PI15,PI15,2015,9,2.05,NA,1.05,lost,,,,
PI15,PI15,2015,10,1.5789,1,1.0789,,,,,
PI15,PI15,2015,11,1.8795,2,0.8795,,,,,
PI15,PI15,2015,12,3.074,2,2.074,,,,,
SQ,SQ,2015,1,1.3034,2,0.3034,,,,,
SQ,SQ,2015,2,1.1909,2,0.1909,,,,,
SQ,SQ,2015,3,1.12106,2,0.12106,,,,,
SQ,SQ,2015,4,1.3048,2,0.3048,,,,,
SQ,SQ,2015,5,1.8651,2,0.8651,,,,,
SQ,SQ,2015,6,3.3215,2,1.3215,,,,,
SQ,SQ,2015,7,2.1251,2,1.1251,,,,,
SQ,SQ,2015,8,1.5173,2,0.5173,,,,,
SQ,SQ,2015,9,1.4617,2,0.4617,,,,,
SQ,SQ,2015,10,2.1164,2,1.1164,,,,,
SQ,SQ,2015,11,2.4962,2,1.4962,,,,,
SQ,SQ,2015,12,1.6653,2,0.6653,,,,,
W,W,2015,1,1.421,2,0.421,lost,,,,
W,W,2015,2,1.8712,2,0.8712,lost,,,,
W,W,2015,3,1.77,2,0.77,lost,,,,
W,W,2015,4,1.65,2,0.65,lost,,,,
W,W,2015,5,1.1396,1,0.6396,,,,,
W,W,2015,6,1.2754,1,0.7754,,,,,
W,W,2015,7,1.2029,1,0.7029,,,,,
W,W,2015,8,1.2229,1,0.7229,,,,,
W,W,2015,9,0.6463,1,0.1463,,,,,
W,W,2015,10,0.6081,1,0.1081,,,,,
W,W,2015,11,1.1539,1,0.6539,,,,,
W,W,2015,12,1.2103,1,0.7103,,,,,
N,N,2014,1,3.4,2,2.4,,,,,
N,N,2014,2,NA,1,2.96,,,,,
N,N,2014,3,NA,1,2.68,,,,,
N,N,2014,4,NA,1,2.5,,,,,
N,N,2014,5,3.03,2,2.03,,,,,
N,N,2014,6,2.44,2,1.44,,,,,
N,N,2014,7,NA,1,3.3,,,,,
N,N,2014,8,3.56,2,2.56,,,,,
N,N,2014,9,3.18,1,2.18,,,,,
N,N,2014,10,3.74,2,2.74,,,,,
N,N,2014,11,2.86,2,1.86,,,,,
N,N,2014,12,3.2,2,2.2,,,,,
EP,EP,2015,1,,2,1.11,,,,,
EP,EP,2015,2,,2,4,5.71,caked in mud,,,
EP,EP,2015,3,,2,3.29,,,,,
EP,EP,2015,4,,2,2.1,,,,,
EP,EP,2015,5,,2,2.21,,,,,
EP,EP,2015,6,,2,2.2,,,,,
EP,EP,2015,7,,2,2.2,,,,,
EP,EP,2015,8,,2,2.4,,,,,
EP,EP,2015,9,,2,2.31,,,,,
EP,EP,2015,10,,2,1.11,,,,,
EP,EP,2015,11,,2,3.1,,,,,
EP,EP,2015,12,,2,2.1,,,,,
M,M,2015,1,,2,2.29,,,,,
M,M,2015,2,,2,2.56,,,,,
M,M,2015,3,,2,1.64,,,,,
M,M,2015,4,,2,2.34,,,,,
M,M,2015,5,,2,2.8,,,,,
M,M,2015,6,,2,2.9,lost,,,,
M,M,2015,7,,2,1.34,,,,,
M,M,2015,8,,2,2.21,,,,,
M,M,2015,9,,2,1.75,,,,,
M,M,2015,10,,2,4,4.3,caked in mud,,,
M,M,2015,11,,2,1.3,,,,,
M,M,2015,12,,2,2.3,lost,,,,
GC,GC,2014,1,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,2,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,3,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,4,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,5,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,6,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,7,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,8,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,9,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,10,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,11,NA,2,NA,"lost all, spring tides",,,,
GC,GC,2014,12,NA,2,NA,"lost all, spring tides",,,,
RI,RI,2014,1,,,NA,not done,,,,
RI,RI,2014,2,,,NA,not done,,,,
RI,RI,2014,3,,,NA,not done,,,,
RI,RI,2014,4,,,NA,not done,,,,
RI,RI,2014,5,,,NA,not done,,,,
RI,RI,2014,6,,,NA,not done,,,,
RI,RI,2014,7,,,NA,not done,,,,
RI,RI,2014,8,,,NA,not done,,,,
RI,RI,2014,9,,,NA,not done,,,,
RI,RI,2014,10,,,NA,not done,,,,
RI,RI,2014,11,,,NA,not done,,,,
RI,RI,2014,12,,,NA,not done,,,,