"Site","Transect","Quadrat","Species","Count","N_Squares"
"GC",5,3,"Chloropidae",5,3
"GC",5,3,"Clubonia sp",4,2
"GC",5,3,"Dohrniphora sp",23,4
"GC",5,3,"hemiptera nymph",84,4
"GC",5,3,"Linyphidae",1,1
"GC",5,3,"Megamealus sp.",15,1
"GC",5,3,"Orobatid mite",13,8
"GC",5,3,"Paraclius sp.",2,2
"GC",5,3,"Pardosa sp.",6,3
"GC",5,3,"Prokelisia sp",291,4
"GC",5,3,"Thripidae sp.",1,1
"GC",5,3,"Trombid mite",11,4
"GC",5,3,"Venzilla parvus",11,4
"GC",5,3,NA,0,3
"GC",5,5,"callitula sp",1,1
"GC",5,5,"hemiptera nymph",18,9
"GC",5,5,"Intercella sp.",11,6
"GC",5,5,"Linyphidae",2,2
"GC",5,5,"Mycetophilidae ",1,1
"GC",5,5,"Orobatid mite",64,14
"GC",5,5,"Paraclius sp.",1,1
"GC",5,5,"Pardosa sp.",3,3
"GC",5,5,"Prokelisia sp",6,3
"GC",5,5,"Trombid mite",11,1
"GC",5,5,"Venzilla parvus",2,2
"GC",6,1,"Amphipoda",46,14
"GC",6,1,"callitula sp",13,7
"GC",6,1,"Clubonia sp",5,3
"GC",6,1,"Delphacodes",5,3
"GC",6,1,"Hydrophilidae larvae",6,5
"GC",6,1,"Linyphidae",20,10
"GC",6,1,"Orobatid mite",29,10
"GC",6,1,"Paraclius sp.",8,4
"GC",6,1,"Prokelisia sp",3,3
"GC",6,3,"Amphipoda",1,1
"GC",6,3,"Chloropidae",2,2
"GC",6,3,"Cicadellidae",2,2
"GC",6,3,"Linyphidae",2,2
"GC",6,3,"Orobatid mite",4,4
"GC",6,3,"Paraclius sp.",3,3
"GC",6,3,NA,0,1
"GC",6,5,"Cecidomyidae",5,4
"GC",6,5,"Melampus bidentata",6,4
"GC",6,5,"Orobatid mite",12,8
"GC",6,5,NA,0,4
"GC",7,1,"Amphipoda",4,4
"GC",7,1,"callitula sp",3,3
"GC",7,1,"Cecidomyidae",2,2
"GC",7,1,"Chloropidae",1,1
"GC",7,1,"Grammonota trivitatta",1,1
"GC",7,1,"Linyphidae",1,1
"GC",7,1,"Orobatid mite",8,5
"GC",7,1,"Prokelisia sp",10,6
"GC",7,3,"Amphipoda",46,10
"GC",7,3,"Cecidomyidae",3,3
"GC",7,3,"Chloropidae",1,1
"GC",7,3,"Hebridae",2,2
"GC",7,3,"Orobatid mite",2,2
"GC",7,3,"Paraclius sp.",5,5
"GC",7,3,"Tytthus sp.",3,3
"GC",7,5,"Cecidomyidae",5,2
"GC",7,5,"Chloropidae",3,2
"GC",7,5,"Cicadellidae",3,2
"GC",7,5,"green eye fly",1,1
"GC",7,5,"Habronattus",1,1
"GC",7,5,"Hebridae",1,1
"GC",7,5,"Orobatid mite",23,12
"GC",7,5,"Spathius sp.",2,2
"GC",8,1,"Amphipoda",55,13
"GC",8,1,"callitula sp",4,4
"GC",8,1,"Chloropidae",3,2
"GC",8,1,"Cicadellidae",4,4
"GC",8,1,"Cyphon sp.",1,1
"GC",8,1,"Delphacodes",28,10
"GC",8,1,"hemiptera nymph",18,9
"GC",8,1,"Hydrophilidae larvae",2,1
"GC",8,1,"Linyphidae",15,8
"GC",8,1,"Orobatid mite",33,12
"GC",8,1,"Paraclius sp.",8,8
"GC",8,1,"Prokelisia sp",5,2
"GC",8,1,"Trigonotylus sp",1,1
"GC",8,1,"Tytthus sp.",10,10
"GC",8,3,"Amphipoda",3,3
"GC",8,3,"Cicadellidae",1,1
"GC",8,3,"Grammonota trivitatta",3,3
"GC",8,3,"Melampus bidentata",2,2
"GC",8,3,"Orobatid mite",77,13
"GC",8,3,"Venzilla parvus",6,5
"GC",8,5,"Amphipoda",8,6
"GC",8,5,"callitula sp",1,1
"GC",8,5,"Cecidomyidae",1,1
"GC",8,5,"Chloropidae",8,6
"GC",8,5,"Cicadellidae",5,2
"GC",8,5,"Clubonia sp",2,2
"GC",8,5,"Delphacodes",1,1
"GC",8,5,"Dohrniphora sp",4,3
"GC",8,5,"Grammonota trivitatta",9,6
"GC",8,5,"Linyphidae",19,8
"GC",8,5,"Melampus bidentata",7,5
"GC",8,5,"Orobatid mite",24,12
"GC",8,5,"Paraclius sp.",3,2
"GC",8,5,"Pardosa sp.",3,3
"GC",8,5,"Prokelisia sp",8,6
"GC",8,5,"Venzilla parvus",8,5
"GC",9,1,"Acrodactyla sp",1,1
"GC",9,1,"Amphipoda",18,13
"GC",9,1,"callitula sp",3,2
"GC",9,1,"Cecidomyidae",3,3
"GC",9,1,"Chaetopsis sp.",6,5
"GC",9,1,"Chloropidae",10,9
"GC",9,1,"Clubonia sp",3,3
"GC",9,1,"Delphacodes",4,4
"GC",9,1,"Grammonota trivitatta",1,1
"GC",9,1,"Haplogonatopus",1,1
"GC",9,1,"Linyphidae",29,14
"GC",9,1,"Orobatid mite",30,12
"GC",9,1,"Paraclius sp.",4,4
"GC",9,1,"Prokelisia sp",3,3
"GC",9,1,"Trigonotylus sp",1,1
"GC",9,3,"Acrodactyla sp",1,1
"GC",9,3,"Amphipoda",13,11
"GC",9,3,"Chloropidae",4,3
"GC",9,3,"Cicadellidae",3,3
"GC",9,3,"Erythrid mite",9,6
"GC",9,3,"Grammonota trivitatta",4,4
"GC",9,3,"Linyphidae",3,3
"GC",9,3,"Melampus bidentata",2,2
"GC",9,3,"Orobatid mite",32,9
"GC",9,3,"Paraclius sp.",3,3
"GC",9,3,"Prokelisia sp",3,3
"GC",9,3,"Tytthus sp.",3,2
"GC",9,5,"Cecidomyidae",6,6
"GC",9,5,"Melampus bidentata",8,3
"GC",9,5,"Orobatid mite",8,8
"GC",9,5,NA,0,3
"GC",10,1,"Amphipoda",7,3
"GC",10,1,"callitula sp",1,1
"GC",10,1,"Cecidomyidae",2,1
"GC",10,1,"Chaetopsis sp.",2,1
"GC",10,1,"Chloropidae",9,4
"GC",10,1,"Cicadellidae",7,5
"GC",10,1,"Delphacodes",19,8
"GC",10,1,"Linyphidae",22,13
"GC",10,1,"Megamealus sp.",5,3
"GC",10,1,"Orobatid mite",20,8
"GC",10,1,"Prokelisia sp",7,4
"GC",10,1,"Trombid mite",6,3
"GC",10,3,"Amphipoda",2,2
"GC",10,3,"Cicadellidae",3,3
"GC",10,3,"Orobatid mite",14,7
"GC",10,3,"Salticidae",1,1
"GC",10,3,"Spathius sp.",1,1
"GC",10,3,"Trombid mite",1,1
"GC",10,3,NA,0,3
"GC",10,5,"Clubonia sp",1,1
"GC",10,5,"Habronattus",1,1
"GC",10,5,"Melampus bidentata",12,8
"GC",10,5,"Orobatid mite",6,5
"GC",10,5,NA,0,5
"GC",11,1,"Acrodactyla sp",2,2
"GC",11,1,"Amphipoda",18,8
"GC",11,1,"callitula sp",9,7
"GC",11,1,"Chaetopsis sp.",1,1
"GC",11,1,"Clubonia sp",5,4
"GC",11,1,"Dohrniphora sp",17,7
"GC",11,1,"hemiptera nymph",5,2
"GC",11,1,"Linyphidae",18,11
"GC",11,1,"Orobatid mite",14,8
"GC",11,1,"Paraclius sp.",6,6
"GC",11,1,"Pardosa sp.",13,9
"GC",11,1,"Prokelisia sp",6,4
"GC",11,1,"Tipula sp.",1,1
"GC",11,1,"Trigonotylus sp",3,3
"GC",11,3,"callitula sp",3,3
"GC",11,3,"Cecidomyidae",1,1
"GC",11,3,"Cyphon sp.",1,1
"GC",11,3,"Delphacodes",1,1
"GC",11,3,"Orobatid mite",17,7
"GC",11,3,"Paraclius sp.",2,2
"GC",11,3,"Prokelisia sp",1,1
"GC",11,3,"Spathius sp.",1,1
"GC",11,3,"Tipula sp.",1,1
"GC",11,3,"Trombid mite",2,2
"GC",11,3,NA,0,4
"GC",11,5,"Amphipoda",1,1
"GC",11,5,"callitula sp",1,1
"GC",11,5,"Conocephalus spartinae",1,1
"GC",11,5,"Grammonota trivitatta",2,1
"GC",11,5,"long nose black beetle",1,1
"GC",11,5,"Melampus bidentata",12,7
"GC",11,5,"Orobatid mite",5,4
"GC",11,5,"Pardosa sp.",17,10
"GC",11,5,"Venzilla parvus",3,2
"GC",11,5,NA,0,1
"GC",12,1,"Amphipoda",1,1
"GC",12,1,"callitula sp",2,2
"GC",12,1,"Chaetopsis sp.",1,1
"GC",12,1,"Orobatid mite",2,2
"GC",12,1,NA,0,9
"GC",12,3,"Amphipoda",30,13
"GC",12,3,"callitula sp",3,2
"GC",12,3,"Delphacodes",7,5
"GC",12,3,"Linyphidae",19,9
"GC",12,3,"long nose black beetle",1,1
"GC",12,3,"Orobatid mite",10,6
"GC",12,3,"Paraclius sp.",2,2
"GC",12,3,"Spathius sp.",1,1
"GC",12,3,"Tytthus sp.",1,1
"GC",12,5,"Cecidomyidae",4,4
"GC",12,5,"Melampus bidentata",8,8
"GC",12,5,"Orobatid mite",9,9
"GC",12,5,"Spathius sp.",1,1
"GC",12,5,NA,0,4
"M",1,1,"Amphipoda",5,5
"M",1,1,"Chloropidae",5,5
"M",1,1,"Orobatid mite",1,1
"M",1,1,"Venzilla parvus",1,1
"M",1,1,NA,3,3
"M",1,3,"Amphipoda",4,2
"M",1,3,"Anurida maritima",1,1
"M",1,3,"callitula sp",2,2
"M",1,3,"Cecidomyidae",92,15
"M",1,3,"Chaetopsis sp.",2,2
"M",1,3,"Chloropidae",48,13
"M",1,3,"Clubonia sp",8,3
"M",1,3,"Delphacodes",10,6
"M",1,3,"Naemia sp.",1,1
"M",1,3,"Paraclius sp.",11,8
"M",1,3,"Pardosa sp.",2,2
"M",1,3,"Trigonotylus sp",1,1
"M",1,3,"Tytthus sp.",0,1
"M",1,5,"Anurida maritima",14,7
"M",1,5,"callitula sp",1,1
"M",1,5,"Chloropidae",14,8
"M",1,5,"Cicadellidae",1,1
"M",1,5,"Clubonia sp",5,4
"M",1,5,"Delphacodes",1,1
"M",1,5,"Hyposinga variabilis",2,2
"M",1,5,"Ischnodemus badius",2,2
"M",1,5,"Littorina littorea",1,1
"M",1,5,"Mycetophilidae ",5,5
"M",1,5,"Pardosa sp",1,1
"M",1,5,"Tetragnatha sp",1,1
"M",1,5,"Trigonotylus sp",2,2
"M",1,5,"Tytthus sp.",1,1
"M",1,5,"Venzilla parvus",1,1
"M",2,1,"Amphipoda",18,5
"M",2,1,"Cicadellidae",2,2
"M",2,1,"Delphacodes",5,2
"M",2,1,"Pardosa sp.",7,3
"M",2,1,"Tetragnatha sp",1,1
"M",2,1,"Trombid mite",5,3
"M",2,1,"Tytthus sp.",1,1
"M",2,1,"Venzilla parvus",11,5
"M",2,3,"callitula sp",1,1
"M",2,3,"Chloropidae",20,1
"M",2,3,"Lenaphid spider",2,1
"M",2,3,"Mycetophilidae ",2,1
"M",2,3,"Pardosa sp",1,1
"M",2,3,"Tytthus sp.",2,1
"M",2,5,"Ochlerotatus sollicitans",1,1
"M",2,5,"Paraclius sp.",2,1
"M",2,5,NA,0,14
"M",3,1,"Amphipoda",10,6
"M",3,1,"Chloropidae",1,1
"M",3,1,"Clubonia sp",3,3
"M",3,1,"Delphacodes",9,4
"M",3,1,"Erythrid mite",3,2
"M",3,1,"Prokelisia sp",12,7
"M",3,1,"Trombid mite",3,3
"M",3,1,"Venzilla parvus",4,2
"M",3,3,"callitula sp",2,2
"M",3,3,"Chloropidae",3,3
"M",3,3,"Paraclius sp.",1,1
"M",3,3,"Tipulidae",1,1
"M",3,3,NA,0,9
"M",3,5,"Amphipoda",1,1
"M",3,5,"Anurida maritima",9,4
"M",3,5,"Black ant (Formicidae)",1,1
"M",3,5,"callitula sp",4,4
"M",3,5,"Chloropidae",17,11
"M",3,5,"Clubonia sp",3,3
"M",3,5,"Cyphon sp.",6,5
"M",3,5,"Delphacodes",2,2
"M",3,5,"Grammonota trivitatta",3,3
"M",3,5,"Hebridae",1,1
"M",3,5,"Hogna sp",2,2
"M",3,5,"Hydrophilidae larvae",2,2
"M",3,5,"Lasius",2,2
"M",3,5,"Mycetophilidae ",4,3
"M",3,5,"Ochlerotatus sollicitans",1,1
"M",3,5,"Orobatid mite",3,3
"M",3,5,"Paraclius sp.",3,3
"M",3,5,"Pentatomidae",1,1
"M",3,5,"Salticidae",4,4
"M",3,5,"Trombid mite",8,3
"M",3,5,"Tytthus sp.",3,3
"M",4,1,"Amphipoda",50,14
"M",4,1,"callitula sp",2,2
"M",4,1,"Cecidomyidae",15,8
"M",4,1,"Chloropidae",9,4
"M",4,1,"Clubonia sp",6,4
"M",4,1,"Delphacodes",7,5
"M",4,1,"Linyphidae",1,1
"M",4,1,"Marpissa sp",2,2
"M",4,1,"Megamealus sp.",1,1
"M",4,1,"Ochlerotatus sollicitans",1,1
"M",4,1,"Orobatid mite",5,3
"M",4,1,"Paraclius sp.",1,1
"M",4,1,"Red spot spider",2,2
"M",4,1,"Trombid mite",8,4
"M",4,1,"Venzilla parvus",14,7
"M",4,3,"Chaetopsis sp.",1,1
"M",4,3,"Chloropidae",16,13
"M",4,3,"Cousin Tyythus",1,1
"M",4,3,"Hydrophilidae larvae",2,2
"M",4,3,"Mycetophilidae ",1,1
"M",4,3,"Ochlerotatus sollicitans",1,1
"M",4,3,"Orobatid mite",1,1
"M",4,3,"Paraclius sp.",5,5
"M",4,3,"Winged cousin tythus",1,1
"M",4,5,"Amphipoda",1,1
"M",4,5,"callitula sp",1,1
"M",4,5,"Chloropidae",46,15
"M",4,5,"Ochlerotatus sollicitans",1,1
"M",4,5,"Orobatid mite",1,1
"M",4,5,"Paraclius sp.",1,1
"M",4,5,NA,0,3
"M",5,1,"Amphipoda",36,13
"M",5,1,"Clubonia sp",3,1
"M",5,1,"Delphacodes",9,4
"M",5,1,"Erythrid mite",30,10
"M",5,1,"Grammonota trivitatta",5,2
"M",5,1,"Hyposinga variabilis",2,1
"M",5,1,"Linyphidae",11,4
"M",5,1,"Megamealus sp.",2,1
"M",5,1,"Orobatid mite",34,9
"M",5,1,"Pardosa sp.",14,7
"M",5,1,"Prokelisia sp",3,3
"M",5,1,"Trombid mite",22,6
"M",5,1,"Venzilla parvus",23,9
"M",5,3,"callitula sp",6,5
"M",5,3,"Cecidomyidae",26,9
"M",5,3,"Chloropidae",18,12
"M",5,3,"Cicadellidae",36,12
"M",5,3,"Clubonia sp",1,1
"M",5,3,"Dolichopodidae",1,1
"M",5,3,"Hydrophilidae larvae",2,2
"M",5,3,"Long antenna true bug",1,1
"M",5,3,"Ochlerotatus sollicitans",4,4
"M",5,3,"Orobatid mite",1,1
"M",5,3,"Paraclius sp.",3,3
"M",5,3,"Prokelisia sp",1,1
"M",5,3,"Tipula sp.",1,1
"M",5,3,"Trigonotylus sp",3,2
"M",6,1,"Amphipoda",1,1
"M",6,1,"Cicadellidae",1,1
"M",6,1,"Clubonia sp",1,1
"M",6,1,"Delphacodes",2,2
"M",6,1,"Erythrid mite",2,2
"M",6,1,"Haplogonatopus",1,1
"M",6,1,"Hyposinga variabilis",1,1
"M",6,1,"Megamealus sp.",1,1
"M",6,1,"Mycetophilidae ",1,1
"M",6,1,"Pardosa sp.",10,7
"M",6,1,"Prokelisia sp",5,4
"M",6,1,"Red spot spider",1,1
"M",6,1,"Salticidae",1,1
"M",6,1,"Sesarma reticulatum",1,1
"M",6,1,"Spotted spider",1,1
"M",6,1,"Tineidae",1,1
"M",6,1,"Trombid mite",6,4
"M",6,1,"Venzilla parvus",6,6
"M",6,1,NA,0,2
"M",6,3,"Amphipoda",6,4
"M",6,3,"callitula sp",2,2
"M",6,3,"Cecidomyidae",2,2
"M",6,3,"Chaetopsis sp.",1,1
"M",6,3,"Chloropidae",23,10
"M",6,3,"Cicadellidae",1,1
"M",6,3,"Clubonia sp",1,1
"M",6,3,"Delphacodes",28,11
"M",6,3,"Erythrid mite",14,7
"M",6,3,"Grammonota trivitatta",1,1
"M",6,3,"Haplogonatopus",1,1
"M",6,3,"Linyphidae",2,2
"M",6,3,"Paraclius sp.",4,2
"M",6,3,"Prokelisia sp",1,1
"M",6,3,"Sesarma reticulatum",1,1
"M",6,3,"Tineidae",1,1
"M",6,3,"Trigonotylus sp",1,1
"M",6,3,"Trombid mite",1,1
"M",6,3,"Venzilla parvus",1,1
"M",6,5,"Chloropidae",16,9
"M",6,5,"Cyphon sp.",1,1
"M",6,5,"Delphacodes",1,1
"M",6,5,"Dolichopodidae",1,1
"M",6,5,"Hydrophilidae larvae",2,1
"M",6,5,"Megamealus sp.",4,3
"M",6,5,"Orobatid mite",10,7
"M",6,5,"Paraclius sp.",1,1
"M",6,5,"Spotted spider",1,1
"M",6,5,"Venzilla parvus",5,5
"M",6,5,NA,0,2
"M",7,3,"Amphipoda",75,18
"M",7,3,"callitula sp",4,3
"M",7,3,"Cecidomyidae",21,10
"M",7,3,"Chloropidae",12,6
"M",7,3,"Clubonia sp",2,2
"M",7,3,"Delphacodes",15,8
"M",7,3,"Hogna sp",1,1
"M",7,3,"Linyphidae",9,5
"M",7,3,"Melampus bidentata",1,1
"M",7,3,"Ochlerotatus sollicitans",1,1
"M",7,3,"Paraclius sp.",11,7
"M",7,3,"Pardosa sp",1,1
"M",7,3,"Tipula sp.",3,2
"M",7,3,"Trombid mite",3,2
"M",7,3,"Tytthus sp.",7,2
"M",7,5,"Acrodactyla sp",4,3
"M",7,5,"Amphipoda",1,1
"M",7,5,"callitula sp",3,3
"M",7,5,"Chaetopsis sp.",1,1
"M",7,5,"Chloropidae",4,2
"M",7,5,"Cicadellidae",1,1
"M",7,5,"Cousin Tytthus",1,1
"M",7,5,"Cyphon sp.",1,1
"M",7,5,"Delphacodes",5,5
"M",7,5,"Erythrid mite",1,1
"M",7,5,"Gryllus sp.",3,2
"M",7,5,"Hebridae",1,1
"M",7,5,"Hyposinga variabilis",1,1
"M",7,5,"Juv dragonfly",1,1
"M",7,5,"Lasius",3,3
"M",7,5,"Lenaphid spider",2,2
"M",7,5,"Ochlerotatus sollicitans",4,3
"M",7,5,"Orobatid mite",11,5
"M",7,5,"Pardosa sp",4,3
"M",7,5,"Pardosa sp.",4,3
"M",7,5,"Prokelisia sp",2,2
"M",7,5,"Tytthus sp.",1,1
"M",7,5,"Unk mosquito",1,1
"M",7,5,"Venzilla parvus",20,9
"M",8,3,"Amphipoda",1,1
"M",8,3,"callitula sp",4,4
"M",8,3,"cecidomyidae",1,1
"M",8,3,"Cecidomyidae",25,10
"M",8,3,"Chloropidae",15,5
"M",8,3,"delphacodes",3,1
"M",8,3,"Delphacodes",40,13
"M",8,3,"Erythrid mite",1,1
"M",8,3,"Grammonota trivitatta",2,2
"M",8,3,"linyphidae",1,1
"M",8,3,"Linyphidae",1,1
"M",8,3,"Orobatid mite",2,2
"M",8,3,"paraclius sp.",1,1
"M",8,3,"Paraclius sp.",7,6
"M",8,3,"Pardosa sp.",1,1
"M",8,3,"Prokelisia sp",9,3
"M",8,3,"Tipula sp.",1,1
"M",8,3,"Tytthus sp.",2,2
"M",8,3,"Venzilla parvus",2,2
"M",8,5,"Amphipoda",1,1
"M",8,5,"Black ant (Formicidae)",12,5
"M",8,5,"callitula sp",3,3
"M",8,5,"cecidomyidae",1,1
"M",8,5,"Cecidomyidae",5,4
"M",8,5,"Chloropidae",5,5
"M",8,5,"Cicadellidae",1,1
"M",8,5,"Clubonia sp",5,4
"M",8,5,"Cyphon sp.",1,1
"M",8,5,"Delphacodes",13,7
"M",8,5,"Erythrid mite",7,3
"M",8,5,"Grammonota trivitatta",1,1
"M",8,5,"Hogna sp",2,2
"M",8,5,"Hyposinga variabilis",1,1
"M",8,5,"Linyphidae",6,6
"M",8,5,"Lygaeidae",1,1
"M",8,5,"Orobatid mite",4,3
"M",8,5,"Paraclius sp.",2,1
"M",8,5,"Pardosa sp.",1,1
"M",8,5,"Prokelisia sp",1,1
"M",8,5,"Tytthus sp.",6,3
"M",8,5,"Venzilla parvus",1,1
"M",9,3,"Chaetopsis sp.",4,2
"M",9,3,"Chloropidae",19,9
"M",9,3,"Delphacodes",40,9
"M",9,3,"Grammonota trivitatta",22,6
"M",9,3,"Hyposinga variabilis",2,1
"M",9,3,"Linyphidae",1,1
"M",9,3,"Megamealus sp.",45,9
"M",9,3,"Paraclius sp.",22,13
"M",9,3,"Pardosa sp.",5,5
"M",9,3,"Spathius sp.",1,1
"M",9,3,"Tipulidae",1,1
"M",9,3,"Trigonotylus sp",1,1
"M",9,5,"Acrodactyla sp",1,1
"M",9,5,"Amphipoda",9,4
"M",9,5,"Anurida maritima",6,5
"M",9,5,"callitula sp",10,9
"M",9,5,"Chaetopsis sp.",7,3
"M",9,5,"Chloropidae",14,7
"M",9,5,"Clubonia sp",4,4
"M",9,5,"Cyphon sp.",7,4
"M",9,5,"Delphacodes",61,25
"M",9,5,"Eriococcuc dennoi",3,1
"M",9,5,"Erythrid mite",18,8
"M",9,5,"Grammonota trivitatta",6,4
"M",9,5,"Haplogonatopus",1,1
"M",9,5,"Hogna sp",1,1
"M",9,5,"Hyposinga variabilis",1,1
"M",9,5,"Linyphidae",5,4
"M",9,5,"Marpissa sp",2,2
"M",9,5,"Megamealus sp.",16,9
"M",9,5,"Melampus bidentata",12,8
"M",9,5,"Mycetophilidae ",1,1
"M",9,5,"Ochlerotatus sollicitans",2,2
"M",9,5,"Orobatid mite",79,22
"M",9,5,"Paraclius sp.",13,10
"M",9,5,"Pardosa sp.",35,20
"M",9,5,"Pentatomidae",1,1
"M",9,5,"Prokelisia sp",43,13
"M",9,5,"Red ant",1,1
"M",9,5,"Salticidae",1,1
"M",9,5,"Spotted spider",2,1
"M",9,5,"Trigonotylus sp",2,2
"M",9,5,"Tytthus sp.",6,3
"M",9,5,"Venzilla parvus",47,19
"M",10,1,"Amphipoda",2,2
"M",10,1,"callitula sp",2,2
"M",10,1,"Cecidomyidae",14,11
"M",10,1,"Chaetopsis sp.",1,1
"M",10,1,"Chloropidae",39,15
"M",10,1,"Clubonia sp",2,2
"M",10,1,"Delphacodes",3,3
"M",10,1,"Hydrophilidae larvae",1,1
"M",10,1,"Littorina littorea",18,7
"M",10,1,"Orobatid mite",13,8
"M",10,1,"Paraclius sp.",23,12
"M",10,1,"Pseudoscorpiones",1,1
"M",10,1,NA,0,1
"M",10,3,"Amphipoda",4,4
"M",10,3,"callitula sp",5,4
"M",10,3,"Cecidomyidae",10,6
"M",10,3,"Chaetopsis sp.",4,4
"M",10,3,"Chloropidae",7,7
"M",10,3,"Clubonia sp",5,4
"M",10,3,"Delphacodes",31,17
"M",10,3,"Dohrniphora sp",1,1
"M",10,3,"Grammonota trivitatta",3,2
"M",10,3,"Linyphidae",3,3
"M",10,3,"Megamealus sp.",5,5
"M",10,3,"Melampus bidentata",1,1
"M",10,3,"Mycetophilidae ",1,1
"M",10,3,"Ochlerotatus sollicitans",1,1
"M",10,3,"Paraclius sp.",8,6
"M",10,3,"Prokelisia sp",7,6
"M",10,3,"Spathius sp.",1,1
"M",10,3,"Tytthus sp.",1,1
"M",10,3,"Venzilla parvus",3,3
"M",10,5,"Black ant (Formicidae)",1,1
"M",10,5,"Cecidomyidae",1,1
"M",10,5,"Chloropidae",6,3
"M",10,5,"Clubonia sp",1,1
"M",10,5,"Dohrniphora sp",3,2
"M",10,5,"Hogna sp",2,2
"M",10,5,"Hyposinga variabilis",1,1
"M",10,5,"Lenaphid spider",1,1
"M",10,5,"Littorina littorea",1,1
"M",10,5,"Orobatid mite",19,8
"M",10,5,"Paraclius sp.",1,1
"M",10,5,"Pardosa sp.",5,4
"M",10,5,"Prokelisia sp",3,3
"M",10,5,"Salticidae",2,2
"M",10,5,"Spotted spider",5,4
"M",10,5,"Tytthus sp.",2,2
"M",10,5,"UNK Big mite (94)",3,2
"M",10,5,"Venzilla parvus",3,3
"M",11,3,"Amphipoda",2,2
"M",11,3,"Anurida maritima",9,6
"M",11,3,"callitula sp",4,3
