Quadrat,Transect,Site,Burrows,Littorina,Melampus,Mussels
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
1,1,EP,88,5,0,6
1,1,Med,200,0,7,0
1,1,N,352,0,0,48
1,1,PI,0,0,0,0
1,1,PI15,0,0,0,0
1,1,SQ,0,0,0,0
1,1,W,0,3,0,27
1,2,EP,16,0,0,2
1,2,Med,136,0,7,0
1,2,N,288,1,0,8
1,2,PI,0,0,100,0
1,2,PI15,0,0,0,0
1,2,SQ,0,0,0,0
1,2,W,0,0,30,0
1,3,EP,32,0,0,1
1,3,Med,168,0,24,0
1,3,N,192,1,0,14
1,3,PI,0,0,0,0
1,3,PI15,0,0,0,0
1,3,SQ,0,0,0,0
1,3,W,0,0,0,16
1,4,EP,104,0,3,8
1,4,GC,16,11,0,0
1,4,Med,312,0,0,0
1,4,N,96,0,0,9
1,4,PI,0,0,0,1
1,4,PI15,0,0,0,0
1,4,SQ,16,0,0,5
1,4,W,0,0,0,22
1,5,EP,96,4,1,11
1,5,GC,32,0,0,0
1,5,Med,144,0,3,0
1,5,N,8,1,0,99
1,5,PI,0,0,0,0
1,5,PI15,0,0,2,0
1,5,SQ,0,0,35,1
1,5,W,48,0,0,112
1,6,EP,176,3,0,2
1,6,GC,0,0,0,0
1,6,Med,184,0,7,0
1,6,N,232,0,0,58
1,6,PI,0,0,0,44
1,6,PI15,16,0,0,0
1,6,SQ,0,0,0,0
1,6,W,144,0,0,121
1,7,EP,48,0,0,4
1,7,GC,48,4,0,0
1,7,Med,0,10,0,4
1,7,N,256,0,0,28
1,7,PI,48,4,0,2
1,7,PI15,8,0,0,0
1,7,SQ,0,0,0,2
1,7,W,96,0,0,92
1,8,EP,32,3,0,0
1,8,GC,88,0,1,0
1,8,Med,0,40,0,26
1,8,N,0,15,0,0
1,8,PI,0,0,0,0
1,8,PI15,8,0,0,0
1,8,SQ,0,0,0,6
1,8,W,0,0,0,0
1,9,EP,144,0,0,4
1,9,GC,32,0,0,0
1,9,Med,0,0,0,1
1,9,N,96,0,0,68
1,9,PI,0,0,64,0
1,9,PI15,0,0,17,0
1,9,SQ,0,0,0,0
1,9,W,0,0,0,85
1,10,EP,24,0,0,4
1,10,GC,64,0,0,0
1,10,Med,8,7,0,0
1,10,N,40,0,0,48
1,10,PI,24,0,0,1
1,10,PI15,0,0,1,1
1,10,SQ,8,0,0,1
1,10,W,0,0,0,49
1,11,EP,40,0,3,0
1,11,GC,8,0,0,0
1,11,Med,8,2,0,0
1,11,N,40,0,0,20
1,11,PI,8,1,0,33
1,11,PI15,0,0,0,1
1,11,SQ,0,2,0,0
1,11,W,24,0,0,34
1,12,EP,56,0,3,0
1,12,GC,72,0,0,0
1,12,Med,24,0,0,2
1,12,N,200,0,0,48
1,12,PI,16,0,0,2
1,12,PI15,16,0,0,0
1,12,SQ,32,0,0,3
1,12,W,0,0,18,0
2,1,EP,0,4,3,0
2,1,Med,0,0,5,0
2,1,N,56,0,2,18
2,1,PI,0,0,17,0
2,1,PI15,0,0,15,0
2,1,SQ,0,0,1,0
2,1,W,24,0,0,1
2,2,EP,48,0,0,0
2,2,Med,0,0,0,0
2,2,N,136,0,0,24
2,2,PI,0,0,16,0
2,2,PI15,0,0,38,0
2,2,SQ,0,0,0,0
2,2,W,16,0,0,0
2,3,EP,16,0,6,0
2,3,Med,0,0,0,0
2,3,N,0,0,4,0
2,3,PI,0,0,27,0
2,3,PI15,0,0,22,1
2,3,SQ,0,0,0,0
2,3,W,0,0,0,0
2,4,EP,0,0,0,0
2,4,GC,0,0,2,0
2,4,Med,24,0,5,0
2,4,N,24,0,0,0
2,4,PI,0,0,15,0
2,4,PI15,0,0,22,0
2,4,SQ,0,0,21,0
2,4,W,48,0,0,10
2,5,EP,0,21,2,0
2,5,GC,0,0,0,0
2,5,Med,0,0,9,4
2,5,N,0,0,0,0
2,5,PI,0,0,54,0
2,5,PI15,0,0,33,0
2,5,SQ,0,0,18,0
2,5,W,48,0,0,27
2,6,EP,56,7,0,7
2,6,GC,0,0,0,0
2,6,Med,296,3,3,0
2,6,N,0,0,10,1
2,6,PI,0,0,64,0
2,6,PI15,0,0,635,1
2,6,SQ,0,0,18,0
2,6,W,32,0,0,3
2,7,EP,0,3,0,1
2,7,GC,0,0,0,2
2,7,Med,32,0,6,0
2,7,N,48,0,5,12
2,7,PI,0,0,19,0
2,7,PI15,0,0,3,0
2,7,SQ,0,0,25,0
2,7,W,0,0,0,0
2,8,EP,48,6,0,0
2,8,GC,0,0,1,0
2,8,Med,0,0,0,0
2,8,N,0,0,0,1
2,8,PI,0,0,2,0
2,8,PI15,0,0,11,0
2,8,SQ,8,0,74,1
2,8,W,24,0,0,0
2,9,EP,32,6,5,1
2,9,GC,0,0,1,0
2,9,Med,0,0,3,0
2,9,N,0,0,0,0
2,9,PI,0,0,49,0
2,9,PI15,0,0,36,0
2,9,SQ,0,0,9,3
2,9,W,16,1,0,12
2,10,EP,16,0,1,0
2,10,GC,0,0,0,0
2,10,Med,8,0,10,0
2,10,N,24,0,0,58
2,10,PI,0,0,36,0
2,10,PI15,0,0,28,0
2,10,SQ,0,0,46,0
2,10,W,0,6,0,6
2,11,EP,0,0,4,3
2,11,GC,0,0,0,0
2,11,Med,144,0,24,0
2,11,N,0,0,0,0
2,11,PI,0,0,43,0
2,11,PI15,0,0,45,0
2,11,SQ,0,0,74,0
2,11,W,0,0,0,0
2,12,EP,0,0,1,0
2,12,GC,0,0,0,0
2,12,Med,160,0,0,0
2,12,N,32,0,0,3
2,12,PI,0,0,61,0
2,12,PI15,0,0,54,1
2,12,SQ,0,0,43,3
2,12,W,32,0,14,2
3,1,EP,0,10,9,0
3,1,Med,16,0,7,0
3,1,N,184,0,0,0
3,1,PI,0,0,7,0
3,1,PI15,0,0,8,0
3,1,SQ,0,0,57,0
3,1,W,0,0,0,1
3,2,EP,0,0,14,0
3,2,Med,8,0,0,0
3,2,N,0,0,0,0
3,2,PI,0,0,77,0
3,2,PI15,0,0,1,0
3,2,SQ,0,0,26,0
3,2,W,40,0,0,4
3,3,EP,8,0,8,0
3,3,Med,0,0,0,0
3,3,N,80,0,0,7
3,3,PI,0,0,74,0
3,3,PI15,0,0,25,0
3,3,SQ,0,0,0,0
3,3,W,48,0,0,0
3,4,EP,72,15,0,0
3,4,GC,0,0,0,0
3,4,Med,0,0,2,0
3,4,N,144,6,2,89
3,4,PI,0,0,0,0
3,4,PI15,0,0,7,0
3,4,SQ,0,0,24,0
3,4,W,24,0,0,2
3,5,EP,0,1,1,1
3,5,GC,0,0,0,0
3,5,Med,0,0,6,0
3,5,N,0,1,25,1
3,5,PI,0,0,35,0
3,5,PI15,0,0,23,0
3,5,SQ,8,0,0,1
3,5,W,16,0,4,13
3,6,EP,0,5,0,0
3,6,Med,144,0,2,0
3,6,N,56,1,11,26
3,6,PI,0,0,27,0
3,6,PI15,0,0,65,0
3,6,SQ,0,0,40,0
3,6,W,24,0,0,1
3,7,EP,0,3,0,1
3,7,GC,0,0,0,0
3,7,Med,16,0,16,3
3,7,N,0,0,2,15
3,7,PI,0,0,10,0
3,7,PI15,0,0,23,0
3,7,SQ,0,0,62,0
3,7,W,40,0,2,0
3,8,EP,0,0,0,0
3,8,GC,0,0,0,0
3,8,Med,0,0,1,0
3,8,N,0,0,0,0
3,8,PI,0,0,0,0
3,8,PI15,0,0,19,0
3,8,SQ,0,0,17,1
3,8,W,0,0,0,0
3,9,EP,0,0,0,1
3,9,GC,0,0,0,0
3,9,Med,0,0,0,0
3,9,N,0,0,0,1
3,9,PI,0,0,19,0
3,9,PI15,0,0,26,0
3,9,SQ,0,0,36,0
3,9,W,48,0,0,9
3,10,EP,0,0,0,2
3,10,GC,0,0,9,0
3,10,Med,8,0,7,0
3,10,N,0,0,6,15
3,10,PI,0,0,68,0
3,10,PI15,0,0,30,0
3,10,SQ,0,0,83,0
3,10,W,0,1,0,2
3,11,EP,0,0,3,0
3,11,GC,0,0,36,0
3,11,Med,0,0,16,0
3,11,N,0,0,0,0
3,11,PI,0,0,17,0
3,11,PI15,0,0,36,0
3,11,SQ,0,0,58,0
3,11,W,0,0,11,0
3,12,EP,0,0,2,0
3,12,GC,0,0,6,0
3,12,Med,0,0,62,0
3,12,N,0,0,5,34
3,12,PI,0,0,36,0
3,12,PI15,0,0,33,0
3,12,SQ,0,0,73,0
3,12,W,0,0,0,0
4,1,EP,0,4,5,0
4,1,Med,0,0,0,0
4,1,N,0,0,0,0
4,1,PI,0,0,3,0
4,1,PI15,0,0,5,0
4,1,SQ,0,0,90,0
4,1,W,16,0,0,6
4,2,EP,16,18,9,0
4,2,Med,0,0,0,0
4,2,N,304,0,0,14
4,2,PI,0,0,25,0
4,2,PI15,0,0,0,0
4,2,SQ,0,0,0,0
4,2,W,96,0,0,0
4,3,EP,48,8,7,0
4,3,Med,0,0,0,0
4,3,N,0,0,0,0
4,3,PI,0,0,53,0
4,3,PI15,0,0,8,0
4,3,SQ,0,0,12,2
4,3,W,8,0,0,2
4,4,EP,56,38,1,0
4,4,GC,0,0,9,0
4,4,Med,0,0,0,0
4,4,N,80,0,0,12
4,4,PI,0,0,5,0
4,4,PI15,0,0,10,0
4,4,SQ,0,0,0,0
4,4,W,24,0,0,1
4,5,EP,8,15,21,2
4,5,GC,24,0,0,0
4,5,Med,0,0,3,0
4,5,N,360,0,1,19
4,5,PI,0,0,36,0
4,5,PI15,0,0,17,0
4,5,SQ,0,0,73,0
4,5,W,24,0,70,1
4,6,EP,0,0,0,0
4,6,GC,0,0,14,0
4,6,Med,16,0,7,0
4,6,N,0,0,2,0
4,6,PI,0,0,68,0
4,6,PI15,0,0,28,0
4,6,SQ,0,1,1,0
4,6,W,0,0,0,0
4,7,EP,32,0,0,0
4,7,GC,0,0,0,0
4,7,Med,240,0,0,3
4,7,N,0,0,0,0
4,7,PI,0,0,20,0
4,7,PI15,0,0,32,0
4,7,SQ,0,0,39,0
4,7,W,32,0,0,8
4,8,EP,0,0,0,0
4,8,GC,0,0,0,0
4,8,Med,0,0,7,0
4,8,N,0,0,0,5
4,8,PI,0,0,0,0
4,8,PI15,0,0,15,0
4,8,SQ,0,0,36,1
4,8,W,8,0,5,0
4,9,EP,24,14,3,2
4,9,GC,0,0,9,0
4,9,Med,0,0,20,0
4,9,N,0,0,0,26
4,9,PI,0,0,70,0
4,9,PI15,0,0,20,0
4,9,SQ,0,0,30,0
4,9,W,8,5,0,4
4,10,EP,8,0,4,0
4,10,GC,0,0,67,0
4,10,Med,0,0,29,0
4,10,N,0,0,1,0
4,10,PI,0,0,59,0
4,10,PI15,0,0,33,0
4,10,SQ,0,0,19,0
4,10,W,0,2,0,4
4,11,EP,0,0,1,0
4,11,GC,0,0,0,0
4,11,Med,0,0,7,0
4,11,N,0,0,12,0
4,11,PI,0,0,8,0
4,11,PI15,0,0,15,0
4,11,SQ,0,0,48,0
4,11,W,0,0,9,0
4,12,EP,0,0,0,0
4,12,GC,0,0,44,0
4,12,Med,0,0,4,0
4,12,N,0,0,1,0
4,12,PI,0,0,29,0
4,12,PI15,0,0,19,0
4,12,SQ,0,0,36,0
4,12,W,0,0,0,0
5,1,EP,0,0,0,0
5,1,GC,0,0,48,0
5,1,Med,0,0,0,0
5,1,N,0,0,0,0
5,1,PI,0,0,10,0
5,1,PI15,0,0,21,0
5,1,SQ,0,0,118,0
5,1,W,0,0,0,0
5,2,EP,56,0,0,0
5,2,Med,0,0,0,0
5,2,N,0,0,0,0
5,2,PI,0,0,25,0
5,2,PI15,0,0,19,0
5,2,SQ,0,0,42,0
5,2,W,0,0,0,0
5,3,EP,8,0,8,0
5,3,Med,0,0,0,0
5,3,N,96,0,0,9
5,3,PI,0,0,0,0
5,3,PI15,0,0,14,0
5,3,SQ,0,0,3,0
5,3,W,0,0,0,0
5,4,EP,32,0,0,0
5,4,GC,0,0,31,0
5,4,Med,0,0,8,0
5,4,N,0,0,2,0
5,4,PI,0,0,0,0
5,4,PI15,0,0,1,0
5,4,SQ,0,0,0,0
5,4,W,0,0,0,0
5,5,EP,136,0,1,0
5,5,GC,0,0,42,0
5,5,Med,0,0,0,0
5,5,N,0,0,0,0
5,5,PI,0,0,21,0
5,5,PI15,0,0,0,0
5,5,SQ,0,0,0,1
5,5,W,0,0,2,0
5,6,EP,0,0,0,0
5,6,GC,0,0,85,0
5,6,Med,16,0,4,0
5,6,N,0,0,8,0
5,6,PI,0,0,10,0
5,6,PI15,0,0,50,0
5,6,SQ,0,0,24,0
5,6,W,0,0,0,0
5,7,EP,0,0,0,0
5,7,GC,0,0,23,0
5,7,Med,0,0,5,0
5,7,N,0,0,3,0
5,7,PI,0,0,16,0
5,7,PI15,0,0,17,0
5,7,SQ,0,0,21,0
5,7,W,0,0,2,0
5,8,EP,8,0,0,0
5,8,GC,0,0,0,0
5,8,Med,0,0,0,0
5,8,N,0,0,1,0
5,8,PI,0,0,15,0
5,8,PI15,0,0,34,0
5,8,SQ,0,0,31,16
5,8,W,0,0,0,0
5,9,EP,0,0,0,0
5,9,GC,0,0,60,0
5,9,Med,0,0,12,0
5,9,N,0,0,2,0
5,9,PI,0,0,5,0
5,9,PI15,0,0,14,0
5,9,SQ,0,0,47,0
5,9,W,0,2,0,0
5,10,EP,0,0,0,0
5,10,GC,0,0,56,0
5,10,Med,0,0,3,0
5,10,N,0,0,0,0
5,10,PI,0,0,41,0
5,10,PI15,0,0,14,0
5,10,SQ,0,0,77,0
5,10,W,0,0,0,0
5,11,EP,8,0,1,0
5,11,GC,0,0,0,0
5,11,Med,0,0,0,0
5,11,N,0,0,0,0
5,11,PI,0,0,64,0
5,11,PI15,0,0,4,0
5,11,SQ,0,0,24,0
5,11,W,0,0,40,0
5,12,EP,0,0,0,0
5,12,GC,0,0,70,0
5,12,Med,0,0,9,0
5,12,N,0,0,0,0
5,12,PI,0,0,24,0
5,12,PI15,0,0,15,0
5,12,SQ,0,0,36,0
5,12,W,56,0,0,47
