"Site","Transect","Quadrat","Number_Missing"
"EP",1,"Q1",4
"EP",1,"Q2",4
"EP",1,"Q3",4
"EP",1,"Q4",4
"EP",1,"Q5",4
"EP",2,"Q1",4
"EP",2,"Q2",4
"EP",2,"Q4",2
"EP",2,"Q5",3
"EP",3,"Q3",3
"EP",3,"Q4",4
"EP",3,"Q5",4
"EP",4,"Q1",4
"EP",4,"Q3",1
"EP",4,"Q5",4
"EP",5,"Q1",4
"EP",5,"Q3",3
"EP",5,"Q5",4
"EP",6,"Q1",3
"EP",6,"Q2",4
"EP",6,"Q3",4
"EP",6,"Q4",1
"EP",7,"Q1",4
"EP",7,"Q2",4
"EP",7,"Q4",4
"EP",8,"Q1",4
"EP",8,"Q2",3
"EP",8,"Q3",4
"EP",8,"Q4",4
"EP",8,"Q5",4
"EP",9,"Q1",4
"EP",9,"Q4",2
"EP",9,"Q5",4
"EP",10,"Q1",4
"EP",10,"Q2",4
"EP",10,"Q3",4
"EP",10,"Q4",4
"EP",10,"Q5",3
"EP",11,"Q1",4
"EP",11,"Q2",1
"EP",11,"Q4",4
"EP",11,"Q5",4
"EP",12,"Q1",4
"EP",12,"Q2",4
"EP",12,"Q3",4
"EP",12,"Q4",4
"GC",1,"Q1",3
"GC",1,"Q2",1
"GC",1,"Q3",2
"GC",1,"Q4",2
"GC",1,"Q5",3
"GC",2,"Q1",1
"GC",2,"Q2",2
"GC",2,"Q3",3
"GC",2,"Q4",2
"GC",2,"Q5",3
"GC",3,"Q1",2
"GC",3,"Q3",3
"GC",3,"Q4",1
"GC",3,"Q5",3
"GC",4,"Q1",3
"GC",4,"Q2",3
"GC",4,"Q3",3
"GC",4,"Q4",3
"GC",4,"Q5",2
"GC",5,"Q3",4
"GC",5,"Q5",3
"GC",6,"Q1",2
"GC",6,"Q2",1
"GC",6,"Q5",1
"GC",7,"Q1",1
"GC",7,"Q3",4
"GC",7,"Q4",2
"GC",7,"Q5",2
"GC",8,"Q1",3
"GC",8,"Q4",2
"GC",8,"Q5",2
"GC",9,"Q1",4
"GC",9,"Q2",3
"GC",9,"Q3",3
"GC",9,"Q4",4
"GC",9,"Q5",4
"GC",10,"Q1",3
"GC",10,"Q2",3
"GC",10,"Q3",3
"GC",10,"Q4",3
"GC",10,"Q5",3
"GC",11,"Q1",3
"GC",11,"Q2",4
"GC",11,"Q3",3
"GC",11,"Q4",3
"GC",11,"Q5",4
"GC",12,"Q1",3
"GC",12,"Q2",3
"GC",12,"Q3",3
"GC",12,"Q4",4
"GC",12,"Q5",3
"Med",1,"Q1",3
"Med",1,"Q2",4
"Med",1,"Q3",4
"Med",1,"Q4",4
"Med",1,"Q5",4
"Med",2,"Q1",4
"Med",2,"Q2",4
"Med",2,"Q3",1
"Med",2,"Q4",2
"Med",2,"Q5",3
"Med",3,"Q1",1
"Med",3,"Q4",2
"Med",3,"Q5",2
"Med",4,"Q1",4
"Med",4,"Q3",1
"Med",4,"Q5",1
"Med",5,"Q1",3
"Med",5,"Q3",3
"Med",5,"Q5",1
"Med",6,"Q1",3
"Med",6,"Q2",4
"Med",6,"Q3",4
"Med",6,"Q4",1
"Med",7,"Q1",4
"Med",7,"Q2",4
"Med",8,"Q1",2
"Med",9,"Q1",4
"Med",10,"Q1",4
"Med",10,"Q2",1
"Med",10,"Q3",1
"Med",11,"Q1",3
"Med",11,"Q2",3
"Med",12,"Q1",4
"Med",12,"Q2",2
"N",1,"Q1",3
"N",1,"Q2",3
"N",2,"Q1",3
"N",2,"Q4",3
"N",3,"Q1",3
"N",3,"Q2",1
"N",3,"Q3",1
"N",3,"Q4",3
"N",4,"Q1",3
"N",4,"Q4",3
"N",5,"Q1",3
"N",6,"Q1",3
"N",7,"Q1",3
"N",7,"Q2",1
"N",8,"Q1",3
"N",9,"Q1",3
"N",9,"Q3",1
"N",9,"Q4",1
"N",10,"Q1",3
"N",10,"Q2",3
"N",10,"Q4",1
"N",11,"Q4",2
"N",12,"Q1",3
"N",12,"Q3",1
"PI",1,"Q1",4
"PI",1,"Q5",2
"PI",2,"Q1",4
"PI",2,"Q2",1
"PI",2,"Q3",1
"PI",2,"Q4",1
"PI",2,"Q5",1
"PI",3,"Q1",4
"PI",3,"Q2",1
"PI",3,"Q3",1
"PI",3,"Q5",4
"PI",4,"Q1",4
"PI",4,"Q5",4
"PI",5,"Q1",2
"PI",5,"Q2",1
"PI",5,"Q3",1
"PI",5,"Q4",2
"PI",5,"Q5",2
"PI",6,"Q1",4
"PI",6,"Q2",2
"PI",6,"Q3",2
"PI",6,"Q4",1
"PI",6,"Q5",4
"PI",7,"Q1",3
"PI",7,"Q2",1
"PI",7,"Q5",1
"PI",8,"Q1",2
"PI",8,"Q2",2
"PI",8,"Q3",2
"PI",8,"Q5",2
"PI",9,"Q1",4
"PI",9,"Q2",2
"PI",9,"Q3",1
"PI",9,"Q4",4
"PI",9,"Q5",4
"PI",10,"Q1",2
"PI",10,"Q2",2
"PI",10,"Q3",1
"PI",10,"Q4",1
"PI",10,"Q5",3
"PI",11,"Q1",3
"PI",11,"Q3",2
"PI",11,"Q4",2
"PI",11,"Q5",3
"PI",12,"Q1",3
"PI",12,"Q2",3
"PI",12,"Q3",4
"PI",12,"Q4",3
"PI",12,"Q5",2
"PI15",1,"Q1",4
"PI15",1,"Q2",4
"PI15",1,"Q3",4
"PI15",1,"Q4",4
"PI15",1,"Q5",3
"PI15",2,"Q1",4
"PI15",2,"Q2",3
"PI15",2,"Q3",2
"PI15",2,"Q5",4
"PI15",3,"Q1",2
"PI15",3,"Q5",3
"PI15",4,"Q1",4
"PI15",4,"Q5",3
"PI15",5,"Q3",2
"PI15",5,"Q5",4
"PI15",6,"Q1",3
"PI15",6,"Q3",2
"PI15",6,"Q4",3
"PI15",6,"Q5",2
"PI15",7,"Q1",4
"PI15",7,"Q4",2
"PI15",8,"Q1",3
"PI15",8,"Q2",3
"PI15",8,"Q4",3
"PI15",8,"Q5",1
"PI15",9,"Q1",4
"PI15",9,"Q4",3
"PI15",10,"Q1",3
"PI15",10,"Q3",2
"PI15",10,"Q4",4
"PI15",10,"Q5",3
"PI15",11,"Q1",2
"PI15",11,"Q2",4
"PI15",11,"Q3",3
"PI15",11,"Q4",3
"PI15",11,"Q5",3
"PI15",12,"Q2",3
"PI15",12,"Q3",3
"W",1,"Q1",4
"W",1,"Q2",4
"W",1,"Q4",4
"W",2,"Q1",4
"W",2,"Q3",4
"W",2,"Q5",4
"W",3,"Q1",4
"W",3,"Q3",4
"W",3,"Q5",4
"W",4,"Q4",4
"W",4,"Q5",4
"W",5,"Q1",4
"W",5,"Q3",4
"W",5,"Q4",4
"W",6,"Q1",4
"W",6,"Q5",4
"W",7,"Q1",4
"W",7,"Q2",4
"W",7,"Q3",4
"W",7,"Q4",4
"W",7,"Q5",4
"W",8,"Q1",4
"W",8,"Q5",4
"W",9,"Q1",2
"W",9,"Q2",1
"W",10,"Q1",2
"W",10,"Q3",2
"W",11,"Q1",1
"W",11,"Q2",1
"W",11,"Q4",1
"W",12,"Q1",1
"W",12,"Q2",1
"W",12,"Q3",1
"W",12,"Q4",1
